product_code,name,spec,color,base_unit
24MS02159,"白色109-98-01 DJ 132/有光K184纹 240g 单层网布 54""",,白色109-98-01,Y
24MS02163,"浮光紫Digital Gleam 136-81-08 LY-YG1190/YS1190纹 250g 小四方泡布 54""",,浮光紫136-81-08,Y
24MS02102,"白色109-98-01 K106 230-250g 单层网布 54""",,白色109-98-01,Y
24MS02189,"生长绿Upgrade Green 074-53-20 K208 240-250g BK网布 54""",,生长绿074-53-20,Y
24MS02164,"玻璃蓝Glass Blue 116-85-09 LY-YG1190/YS1190纹 250g 小四方泡布 54""",,玻璃蓝116-85-09,Y
WJ000434,"180G前卫绿色佳积布54""",,前卫绿色,码
WJ000439,"180G粉白色佳积布54""",,粉白色,码
WD002738,"350G K418 黑色格子布(柄亿）（新欧标环保）55""",,黑色,码
WJ000146,"120G 黑色佳积布54""",,黑色,码
WJ000187,"120G 白色佳积布54""",,白色,码
WM000104,"360G 白色 全棉毛巾布54""",,白色,码
WM000105,"360G 黑色 全棉毛巾布54""",,黑色,码
24FB00646,"8安 綠桂冠(17-6009 TPG) 帆布54""",,綠桂冠17-6009TPG,Y
24FB00675,"8安 开心果(12-0110TPG) 帆布54""",,开心果12-0110TPG,Y
24FB00465,"8安 天國藍(14-4210 TPG) 帆布54""",,天國藍14-4210TPG,Y
24FB00369,"8安 橄榄绿(18-0521 TPX) 帆布54""5单",,橄榄绿18-0521TPX,Y
24FB00191,"8安 深青苔綠(18-0312TPG) 帆布 54""",,深青苔綠18-0312TPG,Y
24FB00193,"8安 暗橡樹(16-1144 TPG) 帆布54""",,暗橡樹16-1144TPG,Y
24MS00289,"摩卡(18-1019TPG) YS-0731 三明治网布 54""",,摩卡18-1019TPG,Y
24MS00291,"深青苔綠(18-0312 TPG) YS-0731三明治网布 54""",,深青苔綠18-0312TPG,Y
24MS00425,"榆樹綠(16-0613 TPX) YS-0731 三明治网布 54""",,榆樹綠16-0613TPX,Y
24MS00576,"天國藍(14-4210 TPG) YS-0731 三明治网布 54""",,天國藍14-4210TPG,码
24MS00580,"沙漠綠（16-0110 TPG）  YS-0731三明治网布 54""",,沙漠綠16-0110TPG,Y
24MS00908,"霧氣藍(18-4215 TPG) YS-0731 三明治网布 54""",,霧氣藍18-4215TPG,Y
24MS00914,"葵蜜色(11-4300 TPG) YS-0731 三明治网布 54""",,葵蜜色11-4300TPG,Y
24MS01452,"米白(11-0701 TPG) 220g K208/BK布 54""",,米白11-0701TPG,Y
24MS01455,"黑色 220g K208/BK布 54""",,黑色,Y
24MS01551,"海洋蓝MOONLIT OCEAN（19-4122TPX）  YS-0797 三层网54""",,海洋蓝19-4122TPX,Y
23FB01346,"夏威夷蓝HAWAIIAN OCEAN (17-4540TPG) 220g 佳积布 54""",,夏威夷蓝17-4540TPG,Y
23FB01245,"8安 雀棕色(18-1024 TPG) 帆布54""",,雀棕色18-1024TPG,Y
24FB00042,"8安 浅灰色（16-4703 TPG) 帆布 54""",,浅灰色16-4703TPG,Y
24FB00180,"中灰色 220g 佳积布 54""",,中灰色,Y
23FB00577,"8安 羊皮色(14-1122 TPG) 帆布54""",,羊皮色14-1122 TPG,Y
23FB00583,"8安 禽褐(16-1324 TPG) 帆布54""",,禽褐16-1324TPG,Y
23FB00610,"8安 皇冠藍(18-3922 TPG) 帆布54""",,皇冠藍18-3922TPG,Y
23FB00621,"8安 島嶼青(15-5425 TPG) 帆布54""",,島嶼青15-5425TPG,Y
23FB00571,"8安 米白(11-0701 TPG) 帆布54""",,米白11-0701 TPG,Y
16MS01315,"三明治网布 54""黑色",,黑色,Y
23FB00292,"明亮白(11-0601 TPX) 毛巾布54""",,明亮白11-0601 TPX,Y
23FB01236,"8安 樺樹色(13-0905 TPG) 帆布54""",,樺樹色13-0905TPG,Y
23FB01087,"8安 軟木褐(16-1422 TPG) 帆布 54""",,軟木褐16-1422TPG,Y
23FB00929,"8安 古沙色（15-1314 TPG）  帆布 54""",,古沙色15-1314TPG,Y
23MS01056,"雨竹灰15-4101TPX YS-0731 三明治网布 54""",,雨竹灰15-4101TPX,Y
23MS01057,"法橡木13-0400 TPG 三明治网布 54""",,法橡木13-0400TPG,Y
23MS01210,"天鵝灰(12-0000 TPG) YS-0731 三明治网布 54""",,天鵝灰12-0000TPG,Y
23MS01216,"烏鴉咖(19-0000 TPG) YS-0731 三明治网布 54""",,烏鴉咖19-0000TPG,Y
23MS01569,"明亮白(11-0601 TPG) YS-0731 三明治网布 54""",,明亮白11-0601TPG,Y
23MS01811,"雕褐色(14-1310 TPG) YS-0731 三 明治网布 54""",,雕褐色14-1310TPG,Y
23MS02086,"水灰(17-1502 TPG) Ys-2332 尼龙网纱 54""",,水灰17-1502TPG,Y
23MS02192,"白色 三明治网布 54""",,白色,Y
