external_order_no,customer_name,order_date,remarks
ALCPO2503676,安健致远,2025-02-23 00:00:00,2/24收到/剪确认
CGD20250201079,联成,2025-02-22 00:00:00,
CGD20250201031,联成,2025-02-22 00:00:00,
AHJPO2509232,安恒,2025-02-22 00:00:00,2/24收到
AHJPO2509305,安恒,2025-02-23 00:00:00,
AHJPO2509284,安恒,2025-02-23 00:00:00,
CGD20250201134,联成,2025-02-24 00:00:00,
CGD20250201129,联成,2025-02-24 00:00:00,
4510180314,双源,2025-02-24 00:00:00,
4510180405,星昌/星联,2025-02-24 00:00:00,
ALCPO2503762,安健致远,2025-02-24 00:00:00,
ALCPO2503795,安健致远,2025-02-24 00:00:00,
ALCPO2503874,安健致远,2025-02-25 00:00:00,3/2收到
ALCPO2503838,安健致远,2025-02-24 00:00:00,
ALCPO2503897,安健致远,2025-02-25 00:00:00,
ALCPO2503955,安健致远,2025-02-26 00:00:00,
4510180691,星昌/星联,2025-02-25 00:00:00,
4510180738,双源,2025-02-25 00:00:00,3/1收到
4510180908,双源,2025-02-26 00:00:00,3/1收到
AHJPO2509623,安恒,2025-02-25 00:00:00,
AHJPO2509912,安恒,2025-02-26 00:00:00,
AHJPO2509751,安恒,2025-02-26 00:00:00,
CGD20250201213,联成,2025-02-25 00:00:00,多23.69下次订单扣用
CGD20250201301,联成,2025-02-26 00:00:00,
PA250225091,福联/安迪星,2025-02-25 00:00:00,
AHJPO2509988,安恒,2025-02-27 00:00:00,
PA250225004,福联/安迪星,2025-02-25 00:00:00,0
AHJPO2510045,安恒,2025-02-27 00:00:00,
AHJPO2510121,安恒,2025-02-27 00:00:00,
AHJPO2510179,安恒,2025-02-27 00:00:00,
4510180987,星昌/星联,2025-02-27 00:00:00,
P250227010,福联/安迪星,2025-02-27 00:00:00,
AHJPO2510397,安恒,2025-02-28 00:00:00,
AHJPO2510448,安恒,2025-02-28 00:00:00,
AHJPO2510909,安恒,2025-03-01 00:00:00,
AHJPO2510883,安恒,2025-03-02 00:00:00,
ALCPO2504196,安健致远,2025-03-01 00:00:00,3/4收到/荣翔还有6件
ALCPO2504213,安健致远,2025-03-02 00:00:00,
4510178620,星昌/星联,2025-03-03 00:00:00,
J20250302005,盈兴,2025-03-03 00:00:00,3/2收到
J20250302006,盈兴,2025-03-03 00:00:00,3/2收到
4510181850,星昌/星联,2025-03-03 00:00:00,
AHJPO2509755,安恒,2025-03-03 00:00:00,
AHJPO2510320,安恒,2025-03-03 00:00:00,3/4收到/剪现货
AHJPO2511122,安恒,2025-03-03 00:00:00,
4510181997,双源,2025-03-04 00:00:00,
4510182033,双源,2025-03-04 00:00:00,
CGD20250201333,联成,2025-03-04 00:00:00,
CGD20250201351,联成,2025-03-04 00:00:00,
CGD20250201382,联成,2025-03-04 00:00:00,
CGD20250300059,联成,2025-03-04 00:00:00,多23.69下次订单扣用
CGD20250300098,联成,2025-03-04 00:00:00,
CGD20250300113,联成,2025-03-04 00:00:00,多23.69下次订单扣用
4510182304,星昌/星联,2025-03-06 00:00:00,
HX1190-004,恒鑫,2025-03-07 00:00:00,剩2件半
HX1190-019,恒鑫,2025-03-07 00:00:00,
CGD20250300155,联成,2025-03-07 00:00:00,
CGD20250300168,联成,2025-03-07 00:00:00,
CGD20250300335,联成,2025-03-07 00:00:00,
AHJPO2511908,安恒,2025-03-07 00:00:00,
AHJPO2512566,安恒,2025-03-07 00:00:00,
AHJPO2513311,安恒,2025-03-08 00:00:00,
ALCPO2504558,安健致远,2025-03-08 00:00:00,
4510183191,星昌/星联,2025-03-08 00:00:00,
PA250307033,福联/安迪星,2025-03-07 00:00:00,
PA250308022,福联/安迪星,2025-03-07 00:00:00,3/11收到
AHJPO2513866,安恒,2025-03-10 00:00:00,
ALCPO2504717,安健致远,2025-03-10 00:00:00,库存110#
P250310004,福联/安迪星,2025-03-10 00:00:00,
AHJPO2513854,安恒,2025-03-10 00:00:00,3/21收到/260Y
PA250310037,福联/安迪星,2025-03-10 00:00:00,0
PA250310043,福联/安迪星,2025-03-10 00:00:00,0
AHJPO2514435,安恒,2025-03-12 00:00:00,
AHJPO2514520,安恒,2025-03-12 00:00:00,
AHJPO2514573,安恒,2025-03-12 00:00:00,100Y分化
AHJPO2514428,安恒,2025-03-12 00:00:00,
4510183985,星昌/星联,2025-03-12 00:00:00,群里补单说没货
4510183922,星昌/星联,2025-03-12 00:00:00,
CGD20250300449,联成,2025-03-13 00:00:00,
CGD20250300371,联成,2025-03-13 00:00:00,
CGD20250300493,联成,2025-03-13 00:00:00,
AHJPO2514839,安恒,2025-03-13 00:00:00,
ALCPO2504981,安健致远,2025-03-14 00:00:00,
ALCPO2503714,安健致远,2025-03-14 00:00:00,
4510184650,星昌/星联,2025-03-14 00:00:00,
4510184672,星昌/星联,2025-03-14 00:00:00,3/15收/剪确认
AHJPO2504273,安恒,2025-03-14 00:00:00,
4510184731,星昌/星联,2025-03-15 00:00:00,库存76#
AHJPO2515281,安恒,2025-03-15 00:00:00,欠色卡剪安健库存去确认
LT-20250217013,良泰,2025-03-15 00:00:00,
4510184844,星昌/星联,2025-03-15 00:00:00,
AHJPO2515445,安恒,2025-03-15 00:00:00,
ALCPO2505345,安健致远,2025-03-16 00:00:00,3/31收到排30公斤
CGD20250300533,联成,2025-03-17 00:00:00,
CGD20250300543,联成,2025-03-17 00:00:00,
4510185097,星昌/星联,2025-03-17 00:00:00,
4510184868,星昌/星联,2025-03-17 00:00:00,
AHJPO2448000,安恒,2025-03-17 00:00:00,
XXXCQ25415802,特步,2025-03-17 00:00:00,送辉利
4510185319,星昌/星联,2025-03-17 00:00:00,7公斤
4510185265,星昌/星联,2025-03-17 00:00:00,3/19收到
4510185368,双源,2025-03-17 00:00:00,剪确认
AHJPO2515763,安恒,2025-03-17 00:00:00,3/21收到
4510183502,双源,2025-03-17 00:00:00,
4510182191,双源,2025-03-17 00:00:00,
AHJPO2515823,安恒,2025-03-19 00:00:00,
4510185398,星昌/星联,2025-03-19 00:00:00,
4510185462,双源,2025-03-19 00:00:00,排1件
XXXCQ25415803,特步,2025-03-19 00:00:00,送辉利
XXXCQ25415804,特步,2025-03-19 00:00:00,送辉利
4510185632,星昌/星联,2025-03-19 00:00:00,
ALCPO2505596,安健致远,2025-03-19 00:00:00,扣163#大件
ALCPO2505607,安健致远,2025-03-19 00:00:00,
ALCPO2505659,安健致远,2025-03-20 00:00:00,现货
J20250320002,盈兴,2025-03-20 00:00:00,3/21收到扣库180#
AHJPO2516254,安恒,2025-03-20 00:00:00,
AHJPO2516289,安恒,2025-03-20 00:00:00,
CGD20250300572,联成,2025-03-20 00:00:00,
4510186279,星昌/星联,2025-03-21 00:00:00,
ALCPO2506164,安健致远,2025-03-22 00:00:00,
ALCPO2506167,安健致远,2025-03-22 00:00:00,
