supplier_name,receipt_date,product_code,product_name,received_qty,unit,related_external_order_no
双辉/大丰,2/27,C0502195,"YS004M 经编组织布 230G 54"" 036-90-02米白",43.4782608695652,码,PA250113026
双辉/大丰,3/3,C0502161,"YS004M 经编组织布 230G 54"" 037-81-37黄",239.130434782609,码,PA250113025
双辉/大丰,2/27,C0501572,"YS004M 经编组织布 230G 54"" 070-88-46绿色",140,码,PA250113025
盛玮,3/6,C0501892,"YS004M 经编组织布 230G 54"" 139-18-00黑",610.4,码,PA250113025
双辉,2/22,C0502193,"YS004M 经编组织布 230G 54"" 152-85-11粉",580,码,PA250113025
荣翔/大丰,2/28,C0501868,"YS020M 加密真美布 250g 54"" 011-46-40红",128,码,PA250113026
荣翔/大丰,2/25,C0501866,"YS020M 加密真美布 250g 54"" 048-90-17黄",138,码,PA250113026
荣翔/大丰,2/28,C0501864,"YS020M 加密真美布 250g 54"" 053-79-38黄",138,码,PA250113026
荣翔,2/12,C0501352,"YS020M 加密真美布 250g 54"" 109-98-01白",736.153846153846,码,PA250113025
泉亿,3/6,C0501970,"YS020M 加密真美布 250g 54"" 139-18-00黑",505.6,码,PA250113025
联盛/金宏盛,3/3,C0100294,"YS-028 三明治网 54"" 000-64-00灰色",244.25,码,PA250113025
联盛/大丰,3/3,C0100433,"YS-028 三明治网 54"" 010-47-34红色",147.5,码,PA250113025
联盛/金宏盛,3/7,C0100573,"YS-028 三明治网 54"" 017-79-00灰",315.5,码,PA250113025
联盛/大丰,2/27,C0100434,"YS-028 三明治网 54"" 070-88-46绿色",85,码,PA250113025
联盛/金宏盛,2/23,C0100232,"YS-028 三明治网 54"" 109-98-01白色",247.25,码,PA250113025
联盛/金宏盛,2/26,C0100518,"YS-028 三明治网 54"" 139-18-00黑",1156.5,码,PA250113025
荣翔/大丰,2/23,C0501903,"YS1811 亮光组织布 230g 54"" 014-82-12 粉色",130.434782608696,码,PA250113025
荣翔,2/26,C0501799,"YS1811 亮光组织布 230g 54"" 109-98-01白",503.2,码,PA250113025
荣翔/大丰,2/27,C0501810,"YS1811 亮光组织布 230g 54"" 160-61-28粉色",216,码,PA250113025
峰星,3/11,20IM00791,"黑色 低弹平布 54"" 220g",522.727272727273,Y,AHJPO2503892
大林/大丰,2/28,24FB01135,"百合白11-4301TPG BA22198-1 三明治网布 54""",51.5789473684211,Y,AHJPO2503892
英利明/大丰,2/25,24FB01136,"百合白11-4301TPG BA22198-2 单层网布 54""",20.8,Y,AHJPO2503892
英利明/大丰,2/25,24FB01138,"香葱绿19-0323TPG BA22198-2 单层网布 54""",24.4,Y,AHJPO2503892
梦锦,3/17,24FB01166,白蜡灰18-5203TPG YS237R 430g 颗丽绒 羊羔毛 54“,211.395450568679,Y,AHJPO2503892
海辉/大丰,2/24,24FB01175,深灰19-3906TPG FMD-F2-066 格子布 54,68,Y,AHJPO2503892
峰星/大丰,2/23,24FB01181,"苏丹棕18-1160TPG 250g 低弹平布 54""",144.347826086957,Y,AHJPO2503892
海辉/大丰,2/23,24MS02002,"褐棕16-1334TPG FMD-F2-066 格子布 54""",100,Y,AHJPO2503892
福泽/大丰,2/24,24MS02003,"香葱绿19-0323TPG FMD-F2-066 格子布 54""",78,Y,AHJPO2503892
海辉/大丰,2/24,24MS02004,"餐厅棕19-0820TPG FMD-F2-066 格子布 54""",25,Y,AHJPO2503892
海辉,3/18,24MS02005,"黑色 FMD-F2-066 格子布 54""",68,Y,AHJPO2503892
鑫达盛/大丰,3/1,C0501835,"250g 莱卡布 A-01 54"" 160-61-28粉色",126.428571428571,码,PA250114018
盛玮,1/15,23FB00295,"120g佳积布 54""黑色",988.333333333333,Y,ALCPO2500594
联盛/大丰,2/23,WS001352,420G/Y 暗橄榄黄19-0516TPG YS028三明治54″,5,Y,4510175346
荣翔,3/1,24MS02205,"绿湖色Glitch Aqua 082-82-12 LY-YG1190/YS1190纹 250g 小四方泡布 54""",387.2,Y,AHJPO2504057
盛玮,2/25,24MS02192,"阴影蓝Shadow 117-38-09 K208 240g BK网布 54""",413.333333333333,Y,AHJPO2504057
盛玮,2/26,24MS02184,"雾粉色Frosted Berry 152-85-11 K208 240g BK网布 54""",406.666666666667,Y,AHJPO2504057
盛玮,2/23,24MS02175,"宝蓝色Vector Blue(R) 118-30-29 K208 240g BK网布 54""",390.8,Y,AHJPO2504057
泉亿,2/21,24MS02174,"黑色139-18-00 K208 240g BK网布 54""",208,Y,AHJPO2504057
盛玮,2/23,24MS02174,"黑色139-18-00 K208 240g BK网布 54""",386.153846153846,Y,AHJPO2504057
盛玮,2/23,24MS02173,"白色109-98-01 K208 240g BK网布 54""",500,Y,AHJPO2504057
联盛/金宏盛,2/15,24MS02131,"白色109-98-01 XF8021纹 350g/Y 三明治网布 54""",1559.14285714286,Y,AHJPO2504057
联盛/金宏盛,2/18,24MS02130,"黑色139-18-00 XF8021纹 350g/Y 三明治网布 54""",475.142857142857,Y,AHJPO2504057
峰星,2/19,24MS02079,"冷灰色04 Cold Grey AC4N D027纹 250-260g 单层网布 54""",630.769230769231,Y,AHJPO2504057
峰星,2/18,24MS02078,"雾灰色Steely Fog AF2M D027纹 250-260g 单层网布 54""",477.6,Y,AHJPO2504057
峰星,2/19,24MS02074,"胜利蓝Vector Navy 126-21-11 D027纹 250-260g 单层网布 54""",644,Y,AHJPO2504057
峰星,2/19,24MS02045,"海盐色Chalk 036-90-02 D027纹 250-260g 单层网布 54""",528.076923076923,Y,AHJPO2504057
盛玮,2/19,23IM00004,"白色 佳绩布 54"" 120g 耐黄",1003.33333333333,Y,AHJPO2504057
鸿顺,2/17,24IM00327,"生胶色04 ADPY 佳积布 54""80g",692,Y,ALCPO2500622
峰星,2/26,24MS02160,"黑色139-18-00 DJ 132/有光K184纹 240g 单层网布 54""",1554.16666666667,Y,ALCPO2500622
