泉州阳硕鞋材有限公司,,,,,,,,,,,,,LGO订单K209/莱卡布/佳积布单价不一样,
2026年01月份大货帐单,,,,,,,,,,,,,,
TO：,莆田市星联鞋业有限公司,,,,,,,,,,,,,
ATTN：,侯先生,CC：,财务,,,,,,币别:人民币,,,,,
日 期,送货单号,客户单号,指令号,料号,品   名,颜色,数量,单位,支数,单价  (RMB),金额(元),备注,,
2025-11-24 00:00:00,XC2511023,,,,小缸费,灰褐色14-4501TPG,1,个,,200,200,,,
2025-11-24 00:00:00,XC2511023,,,WD000392,"200G莱卡布54""",黑色,58,码,,12,696,,,
2025-11-24 00:00:00,XC2511023,,,WD002483,"230G K209网布57""",白色,23,码,,7.6,174.8,,,
2025-11-24 00:00:00,XC2511023,,,WB10687,"180G佳积布54""",白色,200,码,,3.9,780,,,
2025-11-30 00:00:00,XC2511027,4510239540,2X003441,WD002118,"350G 拉毛四面弹54""",墨青蓝色,120,码,,15,1800,,,
2025-12-03 00:00:00,XC2512002,4510239893,2X003367BD,WB6769,"300G 白色提花天鹅绒54""",白色,4,码,,10,40,,,
2025-12-06 00:00:00,XC2512004,,,WS001431,"320G YSD137加厚内里布54""",白色,48,码,,8,384,,,
2025-12-09 00:00:00,XC2512007,4510215774,3X000014M,WB11680,"250G 佳积布54""",白色,61,码,,4.8,292.8,,,
2025-12-10 00:00:00,XC2512009,,,WB10689,"180G佳积布54""",黑色,48,码,,3.9,187.2,,,
2025-12-10 00:00:00,XC2512009,,,FX000226,"200G拉毛四面弹54""",黑色,2,码,,14.5,29,,,
2025-12-10 00:00:00,XC2512009,,,WD000108,"360G XF8001氨纶布54""",黑色,2,码,,15,30,,,
2025-12-12 00:00:00,XC2512010,4510239540,2X003437,WD002119,"350G 拉毛四面弹54""",宝瓶蓝16-4530TPG,27,码,,15,405,,,
2025-12-12 00:00:00,XC2512010,,,,小缸费,宝瓶蓝16-4530TPG,1,个,,300,300,,,
2025-12-12 00:00:00,XC2512011,4510239540,2X003437,WD000508,"350G 拉毛四面弹54""",玛瑙黑色,143,码,,15,2145,,,
2025-12-12 00:00:00,XC2512011,,,,小缸费,玛瑙黑色,1,个,,300,300,,,
2025-12-12 00:00:00,XC2512011,4510239540,2X003439,WD000572,"350G 拉毛四面弹54""",光亮白色,111,码,,15,1665,,,
2025-12-12 00:00:00,XC2512011,,,,小缸费,光亮白色,1,个,,300,300,,,
2025-12-19 00:00:00,XC2512015,4510239540,2X003441,WD002120,"350G  拉毛四面弹54""",幽蓝,30,码,,15,450,,,
2025-12-19 00:00:00,XC2512015,,,,小缸费,幽蓝,1,个,,300,300,,,
2025-12-19 00:00:00,XC2512015,4510243488,3X000189M,WB16877,"8安帆布54""",棕色,76,码,,5.4,410.4,,,
2025-12-25 00:00:00,XC2512016,4510242079,,WB10878,"210D牛津布54""",白色,4,码,,3,12,,,
2025-12-25 00:00:00,XC2512016,4510244084,2X003459,WB10878,"210D牛津布54""",白色,18,码,,3,54,,,
2025-12-25 00:00:00,XC2512016,4510244226,3X000329M,WB10878,"210D牛津布54""",白色,20,码,,3,60,,,
2025-12-25 00:00:00,XC2512016,4510244288,2X003462M,WB10878,"210D牛津布54""",白色,11,码,,3,33,,,
2025-12-25 00:00:00,XC2512016,4510245147,3X000341M,WB10878,"210D牛津布54""",白色,12,码,,3,36,,,
2025-12-25 00:00:00,XC2512016,4510245147,2X003472,WB10878,"210D牛津布54""",白色,20,码,,3,60,,,
2025-12-25 00:00:00,XC2512016,4510245231,2X003462M,WB10878,"210D牛津布54""",白色,5,码,,3,15,,,
2025-12-25 00:00:00,XC2512016,4510245231,2X003472,WB10878,"210D牛津布54""",白色,6,码,,3,18,,,
2025-12-25 00:00:00,XC2512017,4510242079,,WY000085,"210D牛津布54""",黑色,7,码,,3,21,,,
2025-12-25 00:00:00,XC2512017,4510244084,3X000328M,WB11529,"210D尼龙牛津布58""",黑色,12,码,,3,36,,,
2025-12-25 00:00:00,XC2512017,4510244288,1X001783,WY000085,"210D牛津布54""",黑色,56,码,,3,168,,,
2025-12-25 00:00:00,XC2512017,4510245147,2X003471,WB11529,"210D尼龙牛津布58""",黑色,7,码,,3,21,,,
2025-12-25 00:00:00,XC2512017,4510245147,3X000350M,WY000085,"210D牛津布54""",黑色,12,码,,3,36,,,
2025-12-25 00:00:00,XC2512017,4510245231,3X000350M,WY000085,"210D牛津布54""",黑色,8,码,,3,24,,,
2025-12-25 00:00:00,XC2512017,4510245231,3X000350M,WY000085,"210D牛津布54""",黑色,10,码,,3,30,,,
2025-12-25 00:00:00,XC2512018,4510245027,2X003475,WJ000026,"180G佳积布58""",黑色,37,码,,3.9,144.3,,,
2025-12-25 00:00:00,XC2512018,4510245027,3X000350M,WJ000181,"180G佳积布59""",黑色,67,码,,3.9,261.3,,,
