泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2522397,Z24098-459-4,"8安 帆布54""",古沙色15-1314TPG,40,Y,,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
,80+54=134,小缸费,古沙色15-1314TPG,1,个,,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
ALCPO2522397,Z25007-018-1,"8安 帆布54""",开心果12-0110TPG,48,Y,1,,,,AH2601007,2026-01-04 00:00:00,,,,,,,,
,,小缸费,开心果12-0110TPG,1,个,,,,,AH2601007,2026-01-04 00:00:00,,,,,,,,
,Z25072-208-8,"250g 佳积布 54""",白色109-98-01,1722,Y,17,,,,AH2601007,2026-01-04 00:00:00,100+99+101*4+98*2+103*4+102+105+98+106+104=1726,,,,,,,
,Z25052-308-2,"354纹 280-290g 单层网 54"" 耐黄",白色109-98-01,88,Y,4,,,,AH2601007,2026-01-04 00:00:00,,,,,,,,
,Z25073-217-7,"354纹 280-290g 单层网 54"" 耐黄",白色109-98-01,52,Y,,,,,AH2601007,2026-01-04 00:00:00,,,,,,,,
,Z25073-218-7,"354纹 280-290g 单层网 54"" 耐黄",白色109-98-01,204,Y,,,,,AH2601007,2026-01-04 00:00:00,100*3+44=344,,,,,,,
ALCPO2600072,Z25100-361,200g 组织布54“,白色 109-98-01,16,Y,1,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
,Z25075-222-3,"组织布 54""250g",白色109-98-01,29,码,1,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
,Z25075-223-4,"组织布 54""250g",白色109-98-01,29,码,,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
,Z25075-222-4,"组织布 54""250g",白色109-98-01,29,码,,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
,Z25075-222-5,"组织布 54""250g",白色109-98-01,16,码,,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
ALCPO2522397,Z25014-340,"8安 帆布54""",淺沙褐14-1210TPG-1,195,Y,2,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
,120+75=195,小缸费,淺沙褐14-1210TPG-1,1,个,,,,,AH2601008,2026-01-04 00:00:00,,,,,,,,
,Z25076-293-2,"354纹 280-290g 单层网 54""",白色109-98-01,49,Y,1,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25073-425-1,"250g 加密真美布54""",白色109-98-01,32,Y,1,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
ALCPO2600085,Z25093-352,"CL21056 单层网布 54"";; -",浅灰017-79-00,42,Y,1,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
ALCPO2600072,Z25100-360,"200g 组织布
54“;;",蓝色 126-21-11,8,Y,1,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-431,"佳积布230G54""",黑色139-18-00,85,Y,1,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-432,"佳积布230G54""",黑色139-18-00,49,Y,,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
