泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2600624,Z25076-456,"180g 丝光布 54""",白色,272,Y,,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456-1,"180g 丝光布 54""",白色,142,Y,,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
ALCPO2600624,Z25076-457,"180g 丝光布 54""",白色,295,Y,,,,,AH2601048,2026-01-15 00:00:00,12*150+123=1923,,,,,,,
ALCPO2600507,Z25076-226-3,"组织布 54""250g",黑色139-18-00,3,Y,1,,,,AH2601049,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25076-226-2,"组织布 54""250g",黑色139-18-00,6,Y,,,,,AH2601049,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25076-226-3,"丝光布 54"" 120g",黑色,9,Y,1,,,,AH2601049,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25076-226-2,"丝光布 54"" 120g",黑色,19,Y,,,,,AH2601049,2026-01-15 00:00:00,,,,,,,,
ALCPO2600475,Z25072-207-12,"D027纹 250-260g 单层网布 54""",活跃红012-41-36,42,Y,1,,,,AH2601049,2026-01-15 00:00:00,,,,,,,,
ALCPO2600475,Z25073-211-6,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,59,Y,,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600475,Z25073-218-8,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,243,Y,,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600475,Z25073-217-8,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,95,Y,,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600507,Z25078-409-1,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,63,Y,,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600507,Z25073-211-7,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,9,Y,,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600507,Z25073-425-2,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,24,Y,,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600507,Z25073-425-3,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,23,Y,6,,,,AH2601050,2026-01-16 00:00:00,100*5+16=516,,,,,,,
ALCP02600721,Z25014-341,"YS-0731 三明治网布 54""",暖褐色(16-1318 TPG),1,Y,1,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCP02600721,Z23041-112-24,"YS-0731 三明治网布 54""",雨竹灰15-4101TPX,1,Y,1,,,,AH2601050,2026-01-16 00:00:00,,,,,,,,
ALCPO2600475,Z24110-521-8,"K106 230-250g 单层网布 54""",白色109-98-01,360,Y,3,,,,AH2601051,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z24110-521-9,"K106 230-250g 单层网布 54""",白色109-98-01,35,Y,,,,,AH2601051,2026-01-17 00:00:00,2*132+131=395,,,,,,,
ALCPO2600475,Z25073-213-5,"354纹280-290g 单层网 54"" 耐黄",海盐色036-90-02,65,Y,2,,,,AH2601051,2026-01-17 00:00:00,,,,,,,,
ALCPO2600475,Z25073-215-11,"354纹280-290g 单层网 54"" 耐黄",海盐色036-90-02,53,Y,,,,,AH2601051,2026-01-17 00:00:00,,,,,,,,
ALCPO2601138,Z25073-213-6,"354纹280-290g 单层网 54"" 耐黄",海盐色036-90-02,61,Y,,,,,AH2601051,2026-01-17 00:00:00,100+79=179,,,,,,,
ALCPO2600507,Z25076-225-4,"DJ132 240g POLYPAG单层网布 54""",海盐色036-90-02,12,Y,1,,,,AH2601052,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z25076-225-5,"DJ132 240g POLYPAG单层网布 54""",海盐色036-90-02,3,Y,,,,,AH2601052,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z25073-424-2,"354纹 280-290g单层网布 54""",白色109-98-01,33,Y,2,,,,AH2601052,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z25073-424-3,"354纹 280-290g单层网布 54""",白色109-98-01,27,Y,,,,,AH2601052,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z25073-426-2,"354纹 280-290g单层网布 54""",白色109-98-01,84,Y,,,,,AH2601052,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z25073-426-3,"354纹 280-290g单层网布 54""",白色109-98-01,59,Y,,,,,AH2601052,2026-01-17 00:00:00,100+103=203,,,,,,,
ALCPO2524787,Z25072-410,"D027纹 250-260g 单层网布54""",柠绿色064-84-51,65,Y,3,,,,AH2601053,2026-01-17 00:00:00,,,,,,,,
ALCPO2524787,Z25072-410-1,"D027纹 250-260g 单层网布54""",柠绿色064-84-51,31,Y,,,,,AH2601053,2026-01-17 00:00:00,,,,,,,,
ALCPO2600507,Z25072-410-2,"D027纹 250-260g 单层网布54""",柠绿色064-84-51,184,Y,,,,,AH2601053,2026-01-17 00:00:00,100*2+97=297,,,,,,,
ALCPO2600507,Z25072-410-3,"D027纹 250-260g 单层网布54""",柠绿色064-84-51,17,Y,,,,,AH2601053,2026-01-17 00:00:00,,,,,,,,
ALCPO2600169,Z25109-381,"YS-2001 300g 单层网布54""",黑色,91,Y,1,,,,AH2601053,2026-01-17 00:00:00,,,,,,,,
ALCPO2600166,Z25070-374,"200G佳积布54""",真灰色16-5102TPG,241,Y,2,,,,AH2601053,2026-01-17 00:00:00,145+96=241,,,,,,,
ALCPO2600507,Z25076-225-4,"WX-018 260g 毛巾布 54""",海盐色036-90-02,31,Y,1,,,,AH2601054,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25076-225-5,"WX-018 260g 毛巾布 54""",海盐色036-90-02,8,Y,,,,,AH2601054,2026-01-19 00:00:00,,,,,,,,
ALCPO2600475,Z25073-218-8,K106/DJT 1834 纹 单层网布,白色109-98-01,558,Y,6,,,,AH2601054,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-211-7,K106/DJT 1834 纹 单层网布,白色109-98-01,42,Y,,,,,AH2601054,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-216-13,K106/DJT 1834 纹 单层网布,白色109-98-01,72,Y,,,,,AH2601054,2026-01-19 00:00:00,,,,,,,,
ALCPO2601138,Z25073-211-8,K106/DJT 1834 纹 单层网布,白色109-98-01,38,Y,,,,,AH2601054,2026-01-19 00:00:00,5*120+110=710,,,,,,,
,Z25032-103-2,"150g 天鹅绒 54""",黑色,2,Y,1包,,,,AH2601054,2026-01-19 00:00:00,,,,,,,,
ALCPO2600475,Z24110-519-14,"K106 230-250g 单层网布 54""",黑色139-18-00,9,Y,8,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2600475,Z25073-218-8,"K106 230-250g 单层网布 54""",黑色139-18-00,264,Y,,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2600475,Z25073-213-5,"K106 230-250g 单层网布 54""",黑色139-18-00,71,Y,,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2600475,Z24110-520-7,"K106 230-250g 单层网布 54""",黑色139-18-00,414,Y,,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z24110-520-8,"K106 230-250g 单层网布 54""",黑色139-18-00,73,Y,,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z24109-516-8,"K106 230-250g 单层网布 54""",黑色139-18-00,13,Y,,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2601138,Z24110-519-15,"K106 230-250g 单层网布 54""",黑色139-18-00,70,Y,,,,,AH2601055,2026-01-19 00:00:00,,,,,,,,
ALCPO2601138,Z25073-213-6,"K106 230-250g 单层网布 54""",黑色139-18-00,46,Y,,,,,AH2601055,2026-01-19 00:00:00,8*120=960,,,,,,,
ALCPO2600475,Z25073-213-5,"K106 230-250g 单层网布 54""",海盐色036-90-02,60,Y,1,,,,AH2601056,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25073-458,"250g 加密真美布 54""",海盐色036-90-02,97,Y,4,,,,AH2601056,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25073-458-1,"250g 加密真美布 54""",海盐色036-90-02,207,Y,,,,,AH2601056,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25073-459,"250g 加密真美布 54""",海盐色036-90-02,19,Y,,,,,AH2601056,2026-01-19 00:00:00,108+98+97+20=323,,,,,,,
ALCPO2524787,Z25072-421,"D027纹250-260g 单层网布 54""",浅淡灰000-73-00,62,Y,1,,,,AH2601056,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25086-450,"BK网布54"" 耐黄200g",白色109-98-01,254,Y,2,,,,AH2601056,2026-01-19 00:00:00,127*2=254,,,,,,,
ALCPO2600624,Z25117-464,"K106 230-250g 单层网布 54""",白色109-98-01,124,Y,2,,,,AH2601057,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25117-464-1,"K106 230-250g 单层网布 54""",白色109-98-01,38,Y,,,,,AH2601057,2026-01-19 00:00:00,132+30=162,,,,,,,
ALCPO2600624,Z25075-445,"240g DJ132POLYPAG 单层网布 54""",海盐色036-90-02,118,Y,3,,,,AH2601057,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445-1,"240g DJ132POLYPAG 单层网布 54""",海盐色036-90-02,22,Y,,,,,AH2601057,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25076-457,"240g DJ132POLYPAG 单层网布 54""",海盐色036-90-02,79,Y,,,,,AH2601057,2026-01-19 00:00:00,100*2+19=219,,,,,,,
ALCPO2600624,Z25075-445,组织布 54“ 250g,海盐色036-90-02,68,Y,1,,,,AH2601057,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25072-412,"佳积布 54"" 250g",蓝色126-21-11,570,Y,13,,,,AH2601058,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25072-412-1,"佳积布 54"" 250g",蓝色126-21-11,70,Y,,,,,AH2601058,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25072-417-1,"佳积布 54"" 250g",蓝色126-21-11,402,Y,,,,,AH2601058,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25072-417,"佳积布 54"" 250g",蓝色126-21-11,205,Y,,,,,AH2601058,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-2,"佳积布 54"" 250g",蓝色126-21-11,37,Y,,,,,AH2601058,2026-01-19 00:00:00,5*103+4*102+2*101+99+60=1284,,,,,,,
ALCPO2600624,Z25078-446,组织布 54“ 250g,米白色036-90-02,129,Y,4,,,,AH2601059,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25078-446-1,组织布 54“ 250g,米白色036-90-02,11,Y,,,,,AH2601059,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25079-448,组织布 54“ 250g,米白色036-90-02,36,Y,,,,,AH2601059,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25078-465,组织布 54“ 250g,米白色036-90-02,105,Y,,,,,AH2601059,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25078-465-1,组织布 54“ 250g,米白色036-90-02,11,Y,,,,,AH2601059,2026-01-19 00:00:00,,,,,,,,
ALCPO2601138,Z25078-465-2,组织布 54“ 250g,米白036-90-02,19,Y,,,,,AH2601059,2026-01-19 00:00:00,95+95+99+22=311,,,,,,,
ALCPO2524787,Z25072-415,"佳积布 54"" 250g",陀螺色154-62-08,740,Y,8,,,,AH2601060,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25072-415-1,"佳积布 54"" 250g",陀螺色154-62-08,57,Y,,,,,AH2601060,2026-01-19 00:00:00,3*100+2*98+97+101+103=797,,,,,,,
ALCPO2600624,Z25117-464,"354纹 280-290g单层网 54""",蓝色126-34-11,27,Y,1,,,,AH2601060,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25117-464-1,"354纹 280-290g单层网 54""",蓝色126-34-11,9,Y,,,,,AH2601060,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25073-453-1,"354纹280-290g 单层网 54"" 耐黄",海盐色036-90-02,41,Y,1,,,,AH2601060,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25073-458,"354纹280-290g 单层网 54"" 耐黄",海盐色036-90-02,60,Y,,,,,AH2601060,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25072-454,"D027纹 250-260g单层网布 54""",白色109-98-01,77,Y,1,,,,AH2601060,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25072-419,"D027纹 250-260g单层网布 54""",荧光桃012-55-44,52,Y,1,,,,AH2601061,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25072-419-1,"D027纹 250-260g单层网布 54""",荧光桃012-55-44,23,Y,,,,,AH2601061,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444,"200g 组织布54""",白色109-98-01,153,Y,3,,,,AH2601061,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444-1,"200g 组织布54""",白色109-98-01,72,Y,,,,,AH2601061,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456,"200g 组织布54""",白色109-98-01,93,Y,,,,,AH2601061,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456-1,"200g 组织布54""",白色109-98-01,49,Y,,,,,AH2601061,2026-01-19 00:00:00,135+118+118=371,,,,,,,
ALCPO2600624,Z25075-444,"240g DJ132POLYPAG 单层网布 54""",白色109-98-01,101,Y,3,,,,AH2601062,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444-1,"240g DJ132POLYPAG 单层网布 54""",白色109-98-01,48,Y,,,,,AH2601062,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456,"240g DJ132POLYPAG 单层网布 54""",白色109-98-01,73,Y,,,,,AH2601062,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456-1,"240g DJ132POLYPAG 单层网布 54""",白色109-98-01,38,Y,,,,,AH2601062,2026-01-19 00:00:00,,,,,,,,
ALCPO2601138,Z25076-227-8,"240g DJ132POLYPAG 单层网布 54""",白色109-98-01,13,Y,,,,,AH2601062,2026-01-19 00:00:00,100*2+73=273,,,,,,,
ALCPO2601138,Z25072-412-5,"D027纹 250-260g 单层网布54""",胜利蓝126-21-11,65,Y,1,,,,AH2601062,2026-01-19 00:00:00,,,,,,,,
ALCPO2600586,Z25101-324,"JFD1363 三明治网布 54"" -",蓝色120-62-25,17,Y,1,,,,AH2601062,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-424-2,"250g 加密真美布54""",白色109-98-01,36,Y,12,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-424-3,"250g 加密真美布54""",白色109-98-01,128,Y,,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-425-2,"250g 加密真美布54""",白色109-98-01,110,Y,,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-425-3,"250g 加密真美布54""",白色109-98-01,108,Y,,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-426-2,"250g 加密真美布54""",白色109-98-01,399,Y,,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2600507,Z25073-426-3,"250g 加密真美布54""",白色109-98-01,277,Y,,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2600624,Z25073-453,"250g 加密真美布54""",白色109-98-01,72,Y,,,,,AH2601063,2026-01-19 00:00:00,6*94+2*95+2*97+96+86=1130,,,,,,,
ALCPO2600586,Z25094-289,"CL24154纹 430g三明治网布 54""",蓝色105-55-12,11,Y,1,,,,AH2601063,2026-01-19 00:00:00,,,,,,,,
ALCPO2524787,Z25102-430,"佳积布230G54""",白色109-98-01,29,Y,1,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2600151,Z25102-430-1,"佳积布230G54""",白色109-98-01,17,Y,,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2601138,Z25073-213-6,"K106 230-250g 单层网布 54""",黑色139-18-00,21,Y,1,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2600507,Z25076-227-7,250g 组织布54“,白色109-98-01,9,Y,1,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2600507,Z25076-227-6,250g 组织布54“,白色109-98-01,4,Y,,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2601138,Z25076-227-8,250g 组织布54“,白色109-89-01,15,Y,,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2600507,Z25078-409-1,250g 组织布54“,白色109-98-01,104,Y,1,,,,AH2601064,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z24110-520-7,"120g 佳积布 54""",黑色,209,Y,2,,,,AH2601065,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z24110-520-8,"120g 佳积布 54""",黑色,29,Y,,,,,AH2601065,2026-01-20 00:00:00,,,,,,,,
ALCPO2601634,Z24110-519-15,"120g 佳积布 54""",黑色,29,Y,,,,,AH2601065,2026-01-20 00:00:00,100+167=267,,,,,,,
ALCPO2600624,Z25072-454,"佳积布250G 54""",白色,226,Y,3,,,,AH2601065,2026-01-20 00:00:00,94+96+36=226,,,,,,,
ALCPO2600507,Z25073-216-13,"354纹 280-290g单层网 54""",黑色139-18-00,16,Y,1,,,,AH2601065,2026-01-20 00:00:00,,,,,,,,
ALCPO2601138,Z25073-460,"354纹 280-290g单层网 54""",黑色139-18-00,24,Y,,,,,AH2601065,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-409-1,"120g 佳积布54""",白色,161,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25058-393,"120g 佳积布54""",白色,159,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25058-394,"120g 佳积布54""",白色,280,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25058-395,"120g 佳积布54""",白色,182,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2601634,Z25078-447-2,"120g 佳积布54""",白色,15,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2601634,Z25078-465-2,"120g 佳积布54""",白色,25,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z24110-521-8,"120g 佳积布54""",白色,185,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z24110-521-9,"120g 佳积布54""",白色,14,Y,,,,,AH2601066,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-446,"120g 佳积布54""",白色,170,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-446-1,"120g 佳积布54""",白色,21,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-447,"120g 佳积布54""",白色,90,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-447-1,"120g 佳积布54""",白色,21,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-465,"120g 佳积布54""",白色,170,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25078-465-1,"120g 佳积布54""",白色,21,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25058-393,"120g 佳积布 56""",白色,28,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25058-394,"120g 佳积布 56""",白色,42,Y,,,,,AH2601067,2026-01-20 00:00:00,,,,,,,,
ALCPO2600718,Z25058-395,"120g 佳积布 56""",白色,27,Y,9,,,,AH2601067,2026-01-20 00:00:00,3*180+2*182+183+184+178+166=1615,,,,,,,
ALCPO2600624,Z25072-454,"250g 佳积布54""",白色109-98-01,64,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-414,"250g 佳积布54""",白色109-98-01,37,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-415,"250g 佳积布54""",白色109-98-01,228,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-414-1,"250g 佳积布54""",白色109-98-01,64,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-414-2,"250g 佳积布54""",白色109-98-01,38,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-415-1,"250g 佳积布54""",白色109-98-01,18,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-415-2,"250g 佳积布54""",白色109-98-01,115,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-455,"250g 佳积布54""",白色109-98-01,34,Y,,,,,AH2601068,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-455-1,"250g 佳积布54""",白色109-98-01,28,Y,7,,,,AH2601068,2026-01-20 00:00:00,4*96+93+97+52=626,,,,,,,
ALCPO2601733,Z25072-412,"佳积布 54""250g",黑色139-18-00,116,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-417,"佳积布 54""250g",黑色139-18-00,43,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-418,"佳积布 54""250g",黑色139-18-00,14,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-412-1,"佳积布 54""250g",黑色139-18-00,15,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-412-2,"佳积布 54""250g",黑色139-18-00,47,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-412-5,"佳积布 54""250g",黑色139-18-00,57,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-417-1,"佳积布 54""250g",黑色139-18-00,82,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-418-1,"佳积布 54""250g",黑色139-18-00,35,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-412-3,"佳积布 54""250g",黑色139-18-00,28,Y,,,,,AH2601069,2026-01-20 00:00:00,,,,,,,,
ALCPO2601733,Z25072-418-2,"佳积布 54""250g",黑色139-18-00,43,Y,5,,,,AH2601069,2026-01-20 00:00:00,5*96=480,,,,,,,
ALCPO2600507,Z25078-409-1,"BK 单层网布54""",蓝色126-34-11,202,Y,2,,,,AH2601070,2026-01-20 00:00:00,126+76=202,,,,,,,
ALCPO2600624,Z25086-450,"BK网布54"" 耐黄200g",白色109-98-01,118,Y,2,,,,AH2601070,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25086-450-1,"BK网布54"" 耐黄200g",白色109-98-01,67,Y,,,,,AH2601070,2026-01-20 00:00:00,120+65=185,,,,,,,
ALCPO2600507,Z25076-227-7,"WX-018 260g 毛巾布 54""",白色109-98-01,20,Y,1,,,,AH2601070,2026-01-20 00:00:00,,,,,,,,
ALCPO2600507,Z25076-227-6,"WX-018 260g 毛巾布 54""",白色109-98-01,7,Y,,,,,AH2601070,2026-01-20 00:00:00,,,,,,,,
ALCPO2601138,Z25076-227-8,"WX-018 260g 毛巾布 54""",白色109-98-01,33,Y,,,,,AH2601070,2026-01-20 00:00:00,,,,,,,,
补单,Z25075-274-4,"250g 粗纹真美布54""",白色109-98-01,165,Y,13,,,,AH2601071,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444,"250g 粗纹真美布54""",白色109-98-01,317,Y,,,,,AH2601071,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444-1,"250g 粗纹真美布54""",白色109-98-01,150,Y,,,,,AH2601071,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456,"250g 粗纹真美布54""",白色109-98-01,201,Y,,,,,AH2601071,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25076-456-1,"250g 粗纹真美布54""",白色109-98-01,105,Y,,,,,AH2601071,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25117-464,"250g 粗纹真美布54""",白色109-98-01,270,Y,,,,,AH2601071,2026-01-20 00:00:00,,,,,,,,
ALCPO2600624,Z25117-464-1,"250g 粗纹真美布54""",白色109-98-01,83,Y,,,,,AH2601071,2026-01-20 00:00:00,105*12+31=1291,,,,,,,
ALCPO2524787,Z25072-418,"D027纹 250-260g 单层网布 54""",传统绿059-40-11,16,Y,2,,,,AH2601072,2026-01-20 00:00:00,,,,,,,,
ALCPO2524787,Z25072-418-1,"D027纹 250-260g 单层网布 54""",传统绿059-40-11,41,Y,,,,,AH2601072,2026-01-20 00:00:00,,,,,,,,
ALCPO2600507,Z25072-418-2,"D027纹 250-260g 单层网布 54""",传统绿059-40-11,53,Y,,,,,AH2601072,2026-01-20 00:00:00,100+10=110,,,,,,,
ALCPO2524787,Z25072-417,"D027纹 250-260g单层网布 54""",灰色000-47-00,59,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-417-1,"D027纹 250-260g单层网布 54""",灰色000-47-00,113,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-418,"D027纹 250-260g单层网布 54""",灰色000-47-00,19,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416-2,"D027纹 250-260g单层网布 54""",灰色000-47-00,23,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416-1,"D027纹 250-260g单层网布 54""",灰色000-47-00,30,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416,"D027纹 250-260g单层网布 54""",灰色000-47-00,116,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-411-2,"D027纹 250-260g单层网布 54""",灰色000-47-00,33,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-411-1,"D027纹 250-260g单层网布 54""",灰色000-47-00,40,Y,,,,,AH2601073,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-411,"D027纹 250-260g单层网布 54""",灰色000-47-00,51,Y,12,,,,AH2601074,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-418-1,"D027纹 250-260g单层网布 54""",灰色000-47-00,48,Y,,,,,AH2601074,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-411-3,"D027纹 250-260g单层网布 54""",灰色000-47-00,290,Y,,,,,AH2601074,2026-01-21 00:00:00,,,,,,,,
