泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份请款明细,,,,,,,,,,,,,,,
TO：,安迪星（福建）体育用品有限责任公司,,,,,,,,,,,,,,
ATTN：高小姐,,,,,,,,,,,币别:人民币,,,,
日 期,送货单号,订单号,指令,型体,物料编号,刀模,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注
2026-01-12 00:00:00,FLDH260113,PA251227026,K250012,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,35.3,码,,6.8,,240.04,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250013,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,70.9,码,,6.8,,482.12,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250014,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,80.7,码,,6.8,,548.76,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250015,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,22.4,码,,6.8,,152.32,
2026-01-12 00:00:00,FLDH260113,PA251227026,K250020,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,100,码,,6.8,,680,
2026-01-12 00:00:00,FLDH260114,PA251227026,K250021,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,8.7,码,,6.8,,59.16,
2026-01-12 00:00:00,FLDH260114,PA251227026,K250024,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,33.9,码,,6.8,,230.52,
2026-01-12 00:00:00,FLDH260114,PA251227026,K250025,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,20.1,码,,6.8,,136.68,
2026-01-12 00:00:00,FLDH260114,PA251227026,K250026,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,29.8,码,,6.8,,202.64,
2026-01-12 00:00:00,FLDH260114,PA251227026,K250027,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,8,码,,6.8,,54.4,
2026-01-12 00:00:00,FLDH260115,PA251227026,K250028,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,18.8,码,,6.8,,127.84,
2026-01-12 00:00:00,FLDH260115,PA251227026,K250029,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,21.1,码,,6.8,,143.48,
2026-01-12 00:00:00,FLDH260115,PA251227026,K250036,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,44.6,码,,6.8,,303.28,
2026-01-12 00:00:00,FLDH260115,PA251227026,K250037,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,38.1,码,,6.8,,259.08,
2026-01-12 00:00:00,FLDH260115,PA251227026,K250038,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,22.9,码,,6.8,,155.72,
2026-01-12 00:00:00,FLDH260116,PA251227026,K250039,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,14.3,码,,6.8,,97.24,
2026-01-12 00:00:00,FLDH260116,PA251227026,K250040,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,5.3,码,,6.8,,36.04,
2026-01-12 00:00:00,FLDH260116,PA251227026,K250041,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,34.3,码,,6.8,,233.24,
2026-01-12 00:00:00,FLDH260116,PA251227026,K250046,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,16,码,,6.8,,108.8,
2026-01-12 00:00:00,FLDH260116,PA251227026,K250047,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,27.6,码,,6.8,,187.68,
2026-01-12 00:00:00,FLDH260117,PA251227026,K250050,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,33.8,码,,6.8,,229.84,
2026-01-12 00:00:00,FLDH260117,PA251227026,K250051,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,26.5,码,,6.8,,180.2,
2026-01-12 00:00:00,FLDH260117,PA251227026,K250052,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,25.3,码,,6.8,,172.04,
