泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
322,2026-01-16 00:00:00,AH2601050,AHJPO2602163,Z26236-2,YS5908纹 三明治网布,"380g 54""",黑色139-18-00,全代,44,Y,12.5,,550,
323,2026-01-16 00:00:00,AH2601051,AHJPO2600614,Z26136-1,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,118,Y,4.3,,507.4,
324,2026-01-16 00:00:00,AH2601051,AHJPO2600614,Z26136-2,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,104,Y,4.3,,447.2,
325,2026-01-16 00:00:00,AH2601051,AHJPO2600614,Z26173-1,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,15,Y,4.3,,64.5,
326,2026-01-16 00:00:00,AH2601051,AHJPO2600614,Z26136-1open,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,10,Y,4.3,,43,
327,2026-01-16 00:00:00,AH2601051,AHJPO2600614,Z26173-2,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,106,Y,4.3,,455.8,
328,2026-01-16 00:00:00,AH2601051,AHJPO2601359,Z26170-1,YS15365条纹三明治,520-550g 54“,蓝色126-34-11,全代,140,Y,16,,2240,
329,2026-01-16 00:00:00,AH2601052,AHJPO2601821,Z26092-4,YSK2360纹 双心三层网,"400g* 59""",胜利蓝126-21-11,全代,61,Y,16.5,,1006.5,
330,2026-01-16 00:00:00,AH2601052,AHJPO2601821,Z25609-10,354纹单层网耐黄,"280-290g  54""",白色109-98-01,全代,181,Y,9,,1629,
331,2026-01-16 00:00:00,AH2601052,AHJPO2601821,Z25611-12,354纹单层网耐黄,"280-290g  54""",白色109-98-01,全代,161,Y,9,,1449,
332,2026-01-16 00:00:00,AH2601052,AHJPO2601821,Z25654-5,354纹单层网耐黄,"280-290g  54""",白色109-98-01,全代,65,Y,9,,585,
333,2026-01-16 00:00:00,AH2601052,AHJPO2602155,Z26270-1,354纹单层网耐黄,"280-290g  54""",白色109-98-01,全代,14,Y,9,,126,
334,2026-01-16 00:00:00,AH2601052,AHJPO2602163,Z26298-1,354纹单层网耐黄,"280-290g  54""",白色109-98-01,全代,120,Y,9,,1080,
335,2026-01-16 00:00:00,AH2601052,AHJPO2603103,ZY26297-1,354纹单层网耐黄,"280-290g  54""",白色109-98-01,全代,151,Y,9,,1359,
336,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26126-2,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,13,Y,16.5,,214.5,
337,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26126-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,376,Y,16.5,,6204,
338,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26126-2open,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,1,Y,16.5,,16.5,
339,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26145-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,87,Y,16.5,,1435.5,
340,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26138-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,229,Y,16.5,,3778.5,
341,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26137-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,483,Y,16.5,,7969.5,
342,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26137-2,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,18,Y,16.5,,297,
343,2026-01-16 00:00:00,AH2601053,AHJPO2600614,Z26137-2open,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,1,Y,16.5,,16.5,
344,2026-01-16 00:00:00,AH2601054,AHJPO2600614,Z26188-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,135,Y,16.5,,2227.5,
345,2026-01-16 00:00:00,AH2601054,AHJPO2600614,Z26122-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,146,Y,16.5,,2409,
346,2026-01-16 00:00:00,AH2601054,AHJPO2602174,Z26284-1,CL24100  三明治网布,"430g  54""",白色109-98-01,全代,10,Y,16.5,,165,
347,2026-01-16 00:00:00,AH2601054,AHJPO2601359,Z26171-1,YS15365条纹三明治,520-550g 54“,粉色152-57-30,全代,149,Y,16,,2384,
348,2026-01-16 00:00:00,AH2601055,AHJPO2600614,Z26122-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,232,Y,13.5,,3132,
349,2026-01-16 00:00:00,AH2601055,AHJPO2600614,Z26188-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,224,Y,13.5,,3024,
350,2026-01-16 00:00:00,AH2601055,AHJPO2600614,Z26137-2open,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,2,Y,13.5,,27,
351,2026-01-16 00:00:00,AH2601055,AHJPO2600614,Z26137-2,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,28,Y,13.5,,378,
352,2026-01-16 00:00:00,AH2601055,AHJPO2600614,Z26137-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,345,Y,13.5,,4657.5,
353,2026-01-17 00:00:00,AH2601056,AHJPO2600614,Z26160-1open,D027纹单层网布,"250-260g 54""",元素粉159-77-06,全代,4,Y,6.3,,25.2,
354,2026-01-17 00:00:00,AH2601056,AHJPO2600614,Z26160-1,D027纹单层网布,"250-260g 54""",元素粉159-77-06,全代,61,Y,6.3,,384.3,
355,2026-01-17 00:00:00,AH2601056,AHJPO2601821,Z26160-2,D027纹单层网布,"250-260g 54""",元素粉159-77-06,全代,8,Y,6.3,,50.4,
356,2026-01-17 00:00:00,AH2601056,AHJPO2600614,Z26151-2,D027纹单层网布,"250-260g 54""",传统绿072-26-10,全代,15,Y,6.3,,94.5,
357,2026-01-17 00:00:00,AH2601056,AHJPO2600614,Z26151-1open,D027纹单层网布,"250-260g 54""",传统绿072-26-10,全代,2,Y,6.3,,12.6,
358,2026-01-17 00:00:00,AH2601056,AHJPO2600614,Z26151-1,D027纹单层网布,"250-260g 54""",传统绿072-26-10,全代,30,Y,6.3,,189,
359,2026-01-17 00:00:00,AH2601056,AHJPO2601821,Z26151-3,D027纹单层网布,"250-260g 54""",传统绿072-26-10,全代,14,Y,6.3,,88.2,
360,2026-01-17 00:00:00,AH2601056,AHJPO2601821,Z26151-4,D027纹单层网布,"250-260g 54""",传统绿072-26-10,全代,11,Y,6.3,,69.3,
361,2026-01-17 00:00:00,AH2601057,AHJPO2601821,Z25607-5,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,143,Y,4.3,,614.9,
362,2026-01-17 00:00:00,AH2601057,AHJPO2601821,Z25607-6,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,56,Y,4.3,,240.8,
363,2026-01-17 00:00:00,AH2601057,AHJPO2601821,Z25612-11,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,84,Y,4.3,,361.2,
364,2026-01-17 00:00:00,AH2601057,AHJPO2601821,Z25612-12,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,1257,Y,4.3,,5405.1,
365,2026-01-17 00:00:00,AH2601057,AHJPO2602973,Z25610-9,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,164,Y,4.3,,705.2,
366,2026-01-17 00:00:00,AH2601057,AHJPO2602973,Z25610-10,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,235,Y,4.3,,1010.5,
367,2026-01-17 00:00:00,AH2601057,AHJPO2603103,ZY26296-1,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,487,Y,4.3,,2094.1,
368,2026-01-17 00:00:00,AH2601058,AHJPO2600614,Z26113-1,DJ132 POLYPAG单层网布,"240g 54""",淡可可014-47-06,全代,163,Y,6,,978,
369,2026-01-17 00:00:00,AH2601058,AHJPO2600614,Z26139-1,DJ132 POLYPAG单层网布,"240g 54""",淡可可014-47-06,全代,305,Y,6,,1830,
370,2026-01-17 00:00:00,AH2601058,AHJPO2600614,Z26113-1open,DJ132 POLYPAG单层网布,"240g 54""",淡可可014-47-06,全代,9,Y,6,,54,
371,2026-01-17 00:00:00,AH2601058,AHJPO2601821,Z26139-2,DJ132 POLYPAG单层网布,"240g 54""",淡可可014-47-06,全代,46,Y,6,,276,
372,2026-01-17 00:00:00,AH2601058,AHJPO2601821,Z26112-3,DJ132 POLYPAG单层网布,"240g 54""",海盐色036-90-02,全代,3,Y,6,,18,
373,2026-01-17 00:00:00,AH2601058,AHJPO2602163,Z26243-1,DJ132 POLYPAG单层网布,"240g 54""",海盐色036-90-02,全代,8,Y,6,,48,
374,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26128-1,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,92,Y,16.5,,1518,
375,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26129-1,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,92,Y,16.5,,1518,
376,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26189-2,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,35,Y,16.5,,577.5,
377,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26189-1,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,82,Y,16.5,,1353,
378,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26128-2,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,25,Y,16.5,,412.5,
379,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26098-2,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,76,Y,16.5,,1254,
380,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26098-1,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,381,Y,16.5,,6286.5,
381,2026-01-17 00:00:00,AH2601059,AHJPO2600614,Z26127-1,CL24100 三明治网布,"430g  54""",暗黑色139-18-00,全代,131,Y,16.5,,2161.5,
382,2026-01-17 00:00:00,AH2601060,AHJPO2600614,Z26134-2,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,84,Y,13.5,,1134,
383,2026-01-17 00:00:00,AH2601060,AHJPO2600614,Z26142-2,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,15,Y,13.5,,202.5,
384,2026-01-17 00:00:00,AH2601060,AHJPO2600614,Z26134-4,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,178,Y,13.5,,2403,
385,2026-01-17 00:00:00,AH2601060,AHJPO2600614,Z26131-1,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,459,Y,13.5,,6196.5,
386,2026-01-17 00:00:00,AH2601060,AHJPO2601393,Z26134-2,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,1,Y,13.5,,13.5,
387,2026-01-17 00:00:00,AH2601060,AHJPO2601393,Z26134-4,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,1,Y,13.5,,13.5,
388,2026-01-17 00:00:00,AH2601060,AHJPO2601890,Z26142-4,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,42,Y,13.5,,567,
389,2026-01-17 00:00:00,AH2601060,AHJPO2601890,Z26134-5,CL24121  三明治网布,"430g  54""",竞争红014-48-36,全代,14,Y,13.5,,189,
390,2026-01-17 00:00:00,AH2601061,AHJPO2600614,Z26148-1open,BK-Q01单层网布,"260g 54""",黄色037-77-37,全代,4,Y,5.5,,22,
391,2026-01-17 00:00:00,AH2601061,AHJPO2600614,Z26148-1,BK-Q01单层网布,"260g 54""",黄色037-77-37,全代,66,Y,5.5,,363,
392,2026-01-18 00:00:00,AH2601062,AHJPO2600614,Z26190-1,FMD-F2-066 格子布,"54""",海盗黑155-31-00,全代,3,Y,15,,45,
393,2026-01-18 00:00:00,AH2601062,AHJPO2600614,Z26190-2,FMD-F2-066 格子布,"54""",海盗黑155-31-00,全代,7,Y,15,600,705,
394,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26133-1,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,224,Y,13.5,,3024,
395,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26143-1,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,177,Y,13.5,,2389.5,
396,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26143-1open,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,9,Y,13.5,,121.5,
397,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26132-2,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,160,Y,13.5,,2160,
398,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26133-2,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,120,Y,13.5,,1620,
399,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26132-3,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,34,Y,13.5,,459,
400,2026-01-18 00:00:00,AH2601063,AHJPO2600614,Z26133-3,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,25,Y,13.5,,337.5,
401,2026-01-18 00:00:00,AH2601063,AHJPO2601393,Z26132-2,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,2,Y,13.5,,27,
402,2026-01-18 00:00:00,AH2601063,AHJPO2601393,Z26133-2,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,2,Y,13.5,,27,
403,2026-01-18 00:00:00,AH2601064,AHJPO2601890,Z26143-3,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,26,Y,13.5,,351,
404,2026-01-18 00:00:00,AH2601064,AHJPO2601890,Z26133-5,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,69,Y,13.5,,931.5,
405,2026-01-18 00:00:00,AH2601064,AHJPO2604146,Z26204-1,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,45,Y,13.5,,607.5,
406,2026-01-19 00:00:00,AH2601065,AHJPO2601821,Z25003-16,D027纹单层网布,"54"" 250-260g",冷灰色AC4N,全代,78,Y,6.3,,491.4,
407,2026-01-19 00:00:00,AH2601065,AHJPO2601821,Z25003-16open,D027纹单层网布,"54"" 250-260g",冷灰色AC4N,全代,4,Y,6.3,,25.2,
408,2026-01-19 00:00:00,AH2601065,AHJPO2601821,Z25003-17,D027纹单层网布,"54"" 250-260g",冷灰色AC4N,全代,443,Y,6.3,,2790.9,
409,2026-01-19 00:00:00,AH2601065,AHJPO2601821,Z25002-20,D027纹单层网布,"54"" 250-260g",胜利蓝126-21-11,全代,770,Y,6.3,,4851,
410,2026-01-19 00:00:00,AH2601065,AHJPO2601821,Z25002-21,D027纹单层网布,"54"" 250-260g",胜利蓝126-21-11,全代,1182,Y,6.3,,7446.6,
411,2026-01-19 00:00:00,AH2601066,AHJPO2603088,ZY25373-2,CK网布,230*54,蝴蝶兰14-3612TPG,全代,47,Y,4.8,,225.6,
412,2026-01-19 00:00:00,AH2601066,AHJPO2603088,ZY25373-2open,CK网布,230*54,蝴蝶兰14-3612TPG,全代,3,Y,4.8,,14.4,
413,2026-01-19 00:00:00,AH2601066,AHJPO2601821,Z26191-3,FMD-F2-066 格子布,"54 """,黑色,全代,7,Y,15,,105,
414,2026-01-19 00:00:00,AH2601066,AHJPO2601821,Z26191-3open,FMD-F2-066 格子布,"54 """,黑色,全代,1,Y,15,,15,
415,2026-01-19 00:00:00,AH2601066,AHJPO2602155,Z26248-1,YY5983纹 三明治网布,"380G*54""",白色109-98-01,全代,7,Y,13.8,,96.6,
416,2026-01-19 00:00:00,AH2601066,AHJPO2604146,Z26203-1,YY5983纹 三明治网布,"380G*54""",白色109-98-01,全代,18,Y,13.8,,248.4,
417,2026-01-19 00:00:00,AH2601066,AHJPO2604146,Z26203-1,YY5983纹 三明治网布,"380G*54""",白色109-98-01,全代,1,Y,13.8,,13.8,
418,2026-01-19 00:00:00,AH2601067,AHJPO2603088,ZY25368-4,佳积布,"180g 54""",黑色,全代,456,Y,3.9,,1778.4,
419,2026-01-19 00:00:00,AH2601067,AHJPO2603088,ZY25369-2,佳积布,"180g 54""",黑色,全代,309,Y,3.9,,1205.1,
420,2026-01-19 00:00:00,AH2601067,AHJPO2603088,ZY25370-5,佳积布,"180g 54""",黑色,全代,309,Y,3.9,,1205.1,
421,2026-01-19 00:00:00,AH2601067,AHJPO2603088,ZY26303-1,佳积布,"180g 54""",黑色,全代,150,Y,3.9,,585,
422,2026-01-19 00:00:00,AH2601067,AHJPO2601437,ZY26205-1,佳积布,"180g 54""",黑色,全代,21,Y,3.9,,81.9,
423,2026-01-19 00:00:00,AH2601067,AHJPO2604146,Z26202-1,YY5983纹 三明治网布,"380G*54""",黑色139-18-00,全代,11,Y,13.8,,151.8,
424,2026-01-19 00:00:00,AH2601067,AHJPO2604146,Z26299-1同26172,YY5983纹 三明治网布,"380G*54""",黑色139-18-00,全代,12,Y,13.8,,165.6,
425,2026-01-19 00:00:00,AH2601068,AHJPO2600614,Z26127-1,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,269,Y,16.5,,4438.5,
426,2026-01-19 00:00:00,AH2601068,AHJPO2600614,Z26127-2,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,104,Y,16.5,,1716,
427,2026-01-19 00:00:00,AH2601068,AHJPO2600614,Z26127-2open,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,6,Y,16.5,,99,
428,2026-01-19 00:00:00,AH2601068,AHJPO2601890,Z26098-3,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,60,Y,16.5,,990,
429,2026-01-19 00:00:00,AH2601068,AHJPO2602174,Z26271-1,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,62,Y,16.5,,1023,
430,2026-01-19 00:00:00,AH2601068,AHJPO2602174,Z26277-1,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,117,Y,16.5,,1930.5,
431,2026-01-19 00:00:00,AH2601068,AHJPO2602174,Z26275-1,CL24100三明治网布,"430g  54""",暗黑色139-18-00,全代,64,Y,16.5,,1056,
432,2026-01-19 00:00:00,AH2601069,AHJPO2601821,Z25002-21,D027纹  单层网布,"250-260g 54""",胜利蓝126-21-11,全代,324,Y,6.3,,2041.2,
433,2026-01-19 00:00:00,AH2601069,AHJPO2600614,Z26154-1open,BK-Q01单层网布,"260g 54""",虚拟粉144-57-41,全代,2,Y,5.5,,11,
434,2026-01-19 00:00:00,AH2601069,AHJPO2600614,Z26154-1,BK-Q01单层网布,"260g 54""",虚拟粉144-57-41,全代,22,Y,5.5,,121,
435,2026-01-19 00:00:00,AH2601069,AHJPO2601821,Z26095-4,镂空圆孔YS0391纹 单层网布,"310-320g *54""",海盐色036-90-02,全代,266,Y,9.8,,2606.8,
436,2026-01-19 00:00:00,AH2601069,,Z25660-4,BK-Q01  单层网布,"260g 54""",黄色053-79-38,全代,1,Y,5.5,,5.5,
437,2026-01-19 00:00:00,AH2601069,AHJPO2604314,ZY26015-2,DJT-6515 单层网布,"54 """,紫色160-71-05,全代,3,Y,9.5,,28.5,
438,2026-01-19 00:00:00,AH2601069,AHJPO2604658,ZY26066-2,DJT-6515 单层网布,"54 """,逃离灰 039-65-02,全代,16,Y,9.5,,152,
439,2026-01-19 00:00:00,AH2601070,AHJPO2604277,Z25824-23,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,19,Y,6,,114,
440,2026-01-19 00:00:00,AH2601070,AHJPO2601821,Z25927-11,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,9,Y,6,,54,
441,2026-01-19 00:00:00,AH2601070,AHJPO2601821,Z25927-12美线,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,10,Y,6,,60,
442,2026-01-19 00:00:00,AH2601070,AHJPO2601821,Z25927-13美线,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,16,Y,6,,96,
443,2026-01-19 00:00:00,AH2601070,AHJPO2601821,Z25824-21,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,30,Y,6,,180,
444,2026-01-19 00:00:00,AH2601070,AHJPO2601821,Z25824-22,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,27,Y,6,,162,
445,2026-01-19 00:00:00,AH2601070,AHJPO2602155,Z26242-1,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,213,Y,6,,1278,
446,2026-01-19 00:00:00,AH2601071,AHJPO2601821,Z25653-4,DJ132 单层网布,"240g 54""",黑色,全代,3,Y,6,,18,
447,2026-01-19 00:00:00,AH2601071,AHJPO2601821,Z25655-4,DJ132 单层网布,"240g 54""",黑色,全代,3,Y,6,,18,
448,2026-01-19 00:00:00,AH2601071,AHJPO2601821,Z25655-5,DJ132 单层网布,"240g 54""",黑色,全代,5,Y,6,,30,
449,2026-01-19 00:00:00,AH2601071,AHJPO2604277,Z25655-6,DJ132 单层网布,"240g 54""",黑色,全代,4,Y,6,,24,
450,2026-01-20 00:00:00,AH2601072,AHJPO2600614,Z26137-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,418,Y,13.5,,5643,
451,2026-01-20 00:00:00,AH2601072,AHJPO2600614,Z26138-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,106,Y,13.5,,1431,
452,2026-01-20 00:00:00,AH2601072,AHJPO2600614,Z26145-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,139,Y,13.5,,1876.5,
453,2026-01-20 00:00:00,AH2601072,AHJPO2600614,Z26126-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,595,Y,13.5,,8032.5,
454,2026-01-20 00:00:00,AH2601072,AHJPO2600614,Z26126-2,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,21,Y,13.5,,283.5,
455,2026-01-20 00:00:00,AH2601072,AHJPO2602174,Z26284-1,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,15,Y,13.5,,202.5,
456,2026-01-20 00:00:00,AH2601072,AHJPO2604277,Z26284-2,CL24121 三明治网布  耐黄,"430g  54""",白色109-98-01,全代,56,Y,13.5,,756,
457,2026-01-20 00:00:00,AH2601073,AHJPO2600614,Z26129-1,CL24121 三明治网布,"430g  54""",暗黑色139-18-00,全代,154,Y,13.5,,2079,
458,2026-01-20 00:00:00,AH2601073,AHJPO2600614,Z26189-2,CL24121 三明治网布,"430g  54""",暗黑色139-18-00,全代,56,Y,13.5,,756,
459,2026-01-20 00:00:00,AH2601073,AHJPO2600614,Z26127-2,CL24121 三明治网布,"430g  54""",暗黑色139-18-00,全代,164,Y,13.5,,2214,
460,2026-01-20 00:00:00,AH2601073,AHJPO2600614,Z26127-1,CL24121 三明治网布,"430g  54""",暗黑色139-18-00,全代,591,Y,13.5,,7978.5,
461,2026-01-20 00:00:00,AH2601073,AHJPO2601890,Z26133-5,CL24121三明治网布,"430g  54""",表情粉154-77-21,全代,302,Y,13.5,,4077,
462,2026-01-20 00:00:00,AH2601074,AHJPO2600614,Z26141-1,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,108,Y,16.5,,1782,
463,2026-01-20 00:00:00,AH2601074,AHJPO2600614,Z26144-1,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,92,Y,16.5,,1518,
464,2026-01-20 00:00:00,AH2601074,AHJPO2600614,Z26144-2,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,22,Y,16.5,,363,
465,2026-01-20 00:00:00,AH2601074,AHJPO2600614,Z26144-1open,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,5,Y,16.5,,82.5,
466,2026-01-20 00:00:00,AH2601074,AHJPO2600614,Z26140-1,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,233,Y,16.5,,3844.5,
467,2026-01-20 00:00:00,AH2601074,AHJPO2601890,Z26140-2,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,99,Y,16.5,,1633.5,
468,2026-01-20 00:00:00,AH2601074,AHJPO2604146,Z26305-1,CL24100三明治网布,"430g  54""",蓝色ADWW,全代,30,Y,16.5,,495,
469,2026-01-20 00:00:00,AH2601075,AHJPO2601821,Z25003-16,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,63,Y,9.5,,598.5,
470,2026-01-20 00:00:00,AH2601075,AHJPO2601821,Z25003-17,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,369,Y,9.5,,3505.5,
471,2026-01-20 00:00:00,AH2601075,AHJPO2601821,Z25867-6,XF8021纹 三明治网布,"350g/Y 54""",白色109-98-01,全代,416,Y,9.5,,3952,
472,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25607-5,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,60,Y,9,,540,
473,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25607-6,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,24,Y,9,,216,
474,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25612-11,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,36,Y,9,,324,
475,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25612-12,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,542,Y,9,,4878,
476,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25653-4,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,93,Y,9,,837,
477,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25655-4,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,132,Y,9,,1188,
478,2026-01-20 00:00:00,AH2601076,AHJPO2601821,Z25655-5,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,214,Y,9,,1926,
479,2026-01-20 00:00:00,AH2601077,AHJPO2602973,Z25610-9,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,69,Y,9,,621,
480,2026-01-20 00:00:00,AH2601077,AHJPO2602973,Z25610-10,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,100,Y,9,,900,
481,2026-01-20 00:00:00,AH2601077,AHJPO2603103,ZY26296-1,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,209,Y,9,,1881,
482,2026-01-20 00:00:00,AH2601077,AHJPO2604277,Z25612-13,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,73,Y,9,,657,
483,2026-01-20 00:00:00,AH2601077,AHJPO2604277,Z25655-6,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,3,Y,9,,27,
484,2026-01-20 00:00:00,AH2601078,AHJPO2602163,Z26285-1,BK-Q01单层网布,"260g*54""",蓝色116-85-09,全代,50,Y,5.5,,275,
485,2026-01-20 00:00:00,AH2601078,AHJPO2602163,Z26285-1open,BK-Q01单层网布,"260g*54""",蓝色116-85-09,全代,3,Y,5.5,,16.5,
486,2026-01-20 00:00:00,AH2601078,AHJPO2602163,Z26280-1,BK-Q01单层网布,"260g*54""",海军蓝126-21-11,全代,51,Y,5.5,,280.5,
487,2026-01-20 00:00:00,AH2601078,AHJPO2602163,Z26280-1open,BK-Q01单层网布,"260g*54""",海军蓝126-21-11,全代,3,Y,5.5,,16.5,
488,2026-01-20 00:00:00,AH2601078,AHJPO2604277,Z26284-2,CL24100三明治网布  耐黄,"430g  54""",白色109-98-01,全代,41,Y,16.5,,676.5,
