泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
55,2026-01-05 00:00:00,AH2601008,AHJPO2600614,Z26095-2,镂空圆孔YS0391纹 单层网布,"310-320g *54""",海盐色 036-90-02,全代,88,Y,9.8,,862.4,
56,2026-01-05 00:00:00,AH2601008,AHJPO2600614,Z26095-1,镂空圆孔YS0391纹 单层网布,"310-320g *54""",海盐色 036-90-02,全代,95,Y,9.8,,931,
57,2026-01-05 00:00:00,AH2601008,AHJPO2600614,Z26095-2open,镂空圆孔YS0391纹 单层网布,"310-320g *54""",海盐色 036-90-02,全代,5,Y,9.8,,49,
58,2026-01-05 00:00:00,AH2601009,AHJPO2600614,Z26162-1,YS571 单层网布,"530*54""",朦胧绿051-64-04,全代,172,Y,16,,2752,
59,2026-01-05 00:00:00,AH2601009,AHJPO2600614,Z26162-1open,YS571 单层网布,"530*54""",朦胧绿051-64-04,全代,9,Y,16,,144,
60,2026-01-05 00:00:00,AH2601009,AHJPO2600614,Z26169-2,YS571 单层网布,"530*54""",蜡笔蓝120-25-18,全代,35,Y,16,,560,
61,2026-01-05 00:00:00,AH2601009,AHJPO2600614,Z26169-1,YS571 单层网布,"530*54""",蜡笔蓝120-25-18,全代,81,Y,16,,1296,
62,2026-01-05 00:00:00,AH2601009,AHJPO2600614,Z26169-1open,YS571 单层网布,"530*54""",蜡笔蓝120-25-18,全代,5,Y,16,,80,
63,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25037-6,K208 BK网布,"240g 54""",黑色139-18-00,全代,113,Y,5.5,,621.5,
64,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25036-9,K208 BK网布,"240g 54""",黑色139-18-00,全代,208,Y,5.5,,1144,
65,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25034-20open,K208 BK网布,"240g 54""",黑色139-18-00,全代,7,Y,5.5,,38.5,
66,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25034-21,K208 BK网布,"240g 54""",黑色139-18-00,全代,27,Y,5.5,,148.5,
67,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25034-20,K208 BK网布,"240g 54""",黑色139-18-00,全代,138,Y,5.5,,759,
68,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25035-12,K208 BK网布,"240g 54""",黑色139-18-00,全代,163,Y,5.5,,896.5,
69,2026-01-05 00:00:00,AH2601010,AHJPO2581051,Z25035-11,K208 BK网布,"240g 54""",黑色139-18-00,全代,88,Y,5.5,,484,
70,2026-01-05 00:00:00,AH2601011,AHJPO2600614,Z26096-2,YS571 单层网布,"530*54""",橄榄绿044-36-10,全代,39,Y,16,,624,
71,2026-01-05 00:00:00,AH2601011,AHJPO2600614,Z26096-1,YS571 单层网布,"530*54""",橄榄绿044-36-10,全代,79,Y,16,,1264,
72,2026-01-05 00:00:00,AH2601011,AHJPO2600614,Z26163-1,YS571 网布,"530*54""",橄榄绿044-36-10,全代,171,Y,16,,2736,
73,2026-01-05 00:00:00,AH2601011,AHJPO2600614,Z26158-1,YS571 单层网布,"530*54""",传统蓝126-34-11,全代,66,Y,16,,1056,
74,2026-01-05 00:00:00,AH2601011,AHJPO2600614,Z26158-2,YS571 单层网布,"530*54""",传统蓝126-34-11,全代,297,Y,16,,4752,
75,2026-01-05 00:00:00,AH2601011,AHJPO2600614,Z26158-1open,YS571 单层网布,"530*54""",传统蓝126-34-11,全代,4,Y,16,,64,
76,2026-01-05 00:00:00,AH2601012,AHJPO2581051,Z25002-17open,D027纹  单层网布,"250-260g 54""",胜利蓝126-21-11,全代,7,Y,6.3,,44.1,
77,2026-01-05 00:00:00,AH2601012,AHJPO2581051,Z25002-18,D027纹  单层网布,"250-260g 54""",胜利蓝126-21-11,全代,906,Y,6.3,,5707.8,
78,2026-01-05 00:00:00,AH2601012,AHJPO2581051,Z25002-19,D027纹  单层网布,"250-260g 54""",胜利蓝126-21-11,全代,65,Y,6.3,,409.5,
79,2026-01-05 00:00:00,AH2601012,AHJPO2581051,Z25002-17,D027纹  单层网布,"250-260g 54""",胜利蓝126-21-11,全代,123,Y,6.3,,774.9,
80,2026-01-05 00:00:00,AH2601012,AHJPO2600614,Z26149-1open,BK-Q01单层网布,"260g 54""",黄色 043-90-14,全代,4,Y,5.5,,22,
81,2026-01-05 00:00:00,AH2601012,AHJPO2600614,Z26149-1,BK-Q01单层网布,"260g 54""",黄色 043-90-14,全代,70,Y,5.5,,385,
82,2026-01-05 00:00:00,AH2601013,AHJPO2581051,Z25003-13open,D027纹  单层网布,"250-260g 54""",冷灰色AC4N,全代,7,Y,6.3,,44.1,
83,2026-01-05 00:00:00,AH2601013,AHJPO2581051,Z25003-15,D027纹  单层网布,"250-260g 54""",冷灰色AC4N,全代,107,Y,6.3,,674.1,
84,2026-01-05 00:00:00,AH2601013,AHJPO2581051,Z25003-14,D027纹  单层网布,"250-260g 54""",冷灰色AC4N,全代,173,Y,6.3,,1089.9,
85,2026-01-05 00:00:00,AH2601013,AHJPO2581051,Z25003-13,D027纹  单层网布,"250-260g 54""",冷灰色AC4N,全代,123,Y,6.3,,774.9,
86,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26164-1,D027纹 单层网布,"250-260g 54""",海蓝099-73-02,全代,52,Y,6.3,,327.6,
87,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26164-1open,D027纹 单层网布,"250-260g 54""",海蓝099-73-02,全代,3,Y,6.3,,18.9,
88,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26092-1,YSK2360纹 双心三层网,"400g* 59""",胜利蓝126-21-11,全代,46,Y,16.5,,759,
89,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26092-1open,YSK2360纹 双心三层网,"400g* 59""",胜利蓝126-21-11,全代,3,Y,16.5,,49.5,
90,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26092-2,YSK2360纹 双心三层网,"400g* 59""",胜利蓝126-21-11,全代,33,Y,16.5,,544.5,
91,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26094-1,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,48,Y,16.5,,792,
92,2026-01-06 00:00:00,AH2601014,AHJPO2600614,Z26093-2,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,20,Y,16.5,,330,
93,2026-01-06 00:00:00,AH2601015,AHJPO2581105,ZY26086-1,354纹 单层网 耐黄,"280-290g  54""",海盐色036-90-02,全代,133,Y,9,,1197,
94,2026-01-06 00:00:00,AH2601015,AHJPO2581105,ZY26088-1,354纹 单层网 耐黄,"280-290g  54""",海盐色036-90-02,全代,139,Y,9,,1251,
95,2026-01-06 00:00:00,AH2601015,AHJPO2600614,Z26091-1open,镂空圆孔YS0391纹 单层网布,"310-320g *54""",雾霾蓝126-50-07,全代,5,Y,9.8,,49,
96,2026-01-06 00:00:00,AH2601015,AHJPO2600614,Z26091-1,镂空圆孔YS0391纹 单层网布,"310-320g *54""",雾霾蓝126-50-07,全代,89,Y,9.8,,872.2,
97,2026-01-06 00:00:00,AH2601015,AHJPO2600614,Z26091-2,镂空圆孔YS0391纹 单层网布,"310-320g *54""",雾霾蓝126-50-07,全代,49,Y,9.8,,480.2,
98,2026-01-06 00:00:00,AH2601015,AHJPO2600614,Z26167-1,YS571 单层网布,"530*54""",合金灰000-47-00,全代,65,Y,16,,1040,
99,2026-01-06 00:00:00,AH2601016,AHJPO2581051,Z25548-11,镂空圆孔YS0391纹 单层网布,"310-320g *54""",黑色139-18-00,全代,453,Y,9.8,,4439.4,
100,2026-01-06 00:00:00,AH2601016,AHJPO2581051,Z25548-12,镂空圆孔YS0391纹 单层网布,"310-320g *54""",黑色139-18-00,全代,75,Y,9.8,,735,
101,2026-01-06 00:00:00,AH2601016,AHJPO2581051,Z25017-17,镂空圆孔YS0391纹 单层网布,"310-320g *54""",黑色139-18-00,全代,212,Y,9.8,,2077.6,
102,2026-01-06 00:00:00,AH2601016,AHJPO2581051,Z25017-18,镂空圆孔YS0391纹 单层网布,"310-320g *54""",黑色139-18-00,全代,52,Y,9.8,,509.6,
103,2026-01-06 00:00:00,AH2601016,AHJPO2600639,Z25548-9,镂空圆孔YS0391纹 单层网布,"310-320g *54""","黑色139-18-
00",全代,19,Y,9.8,,186.2,
104,2026-01-06 00:00:00,AH2601016,,26069单,DJ132POLYPAG单层网布,"240g 54""",海盐色036-90-02,全代,1,Y,6,,6,
105,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25001-17,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,75,Y,9.5,,712.5,
106,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25001-16,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,516,Y,9.5,,4902,
107,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25002-18,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,30,Y,9.5,,285,
108,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25002-19,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,54,Y,9.5,,513,
