泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251127013,M250004,4130179,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,0.2,码,,预补数,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250005,4130180,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,13.8,码,,0,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250005,4130180,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,0.2,码,,预补数,FLDH251207,2025-12-15 00:00:00,,
PA251127013,M250006,4130185,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,13,码,,0,FLDH251207,2025-12-15 00:00:00,,
PA251127013,M250006,4130185,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,0.2,码,,预补数,FLDH251207,2025-12-15 00:00:00,,
PA251203013,V253250,100274312,C0501181,SS26129W,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑,98,码,,0,FLDH251207,2025-12-15 00:00:00,,
PA251203013,V253250,100274312,C0501181,SS26129W,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑,0.6,码,,预补数,FLDH251207,2025-12-15 00:00:00,,
PA251203013,V253251,100274313,C0501181,SS26129W,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑,65,码,,0,FLDH251207,2025-12-15 00:00:00,,
PA251203013,V253251,100274313,C0501181,SS26129W,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑,0.4,码,,预补数,FLDH251207,2025-12-15 00:00:00,,
PA251203013,V253255,100274317,C0501181,SS26129W,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑,41.6,码,,0,FLDH251207,2025-12-15 00:00:00,,
PA251203013,V253255,100274317,C0501181,SS26129W,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑,0.4,码,3,预补数,FLDH251207,2025-12-15 00:00:00,,100*3=300
PA251127013,M250007,4130181,C0101137,MS26128M,"20071#提花三明治 450g/y 54""",BLACK C黑,140.4,码,3,0,FLDH251208,2025-12-15 00:00:00,,
PA251127013,M250007,4130181,C0101137,MS26128M,"20071#提花三明治 450g/y 54""",BLACK C黑,1.6,码,,预补数,FLDH251208,2025-12-15 00:00:00,,56+57+29=142
PA251127013,M250008,4130182,C0101138,MS26128M,"20071#提花三明治 450g/y 54""",18-4017TCX灰,119.6,码,2,0,FLDH251209,2025-12-15 00:00:00,,
PA251127013,M250008,4130182,C0101138,MS26128M,"20071#提花三明治 450g/y 54""",18-4017TCX灰,1.4,码,,预补数,FLDH251209,2025-12-15 00:00:00,,
,,,,,小缸费,18-4017TCX灰,1,个,,,FLDH251209,2025-12-15 00:00:00,,60+61=121
PA251127013,M250009,4130183,C0101140,MS26128M,"20071#提花三明治 450g/y 54""",19-3921TCX蓝,119.6,码,2,0,FLDH251210,2025-12-15 00:00:00,,
PA251127013,M250009,4130183,C0101140,MS26128M,"20071#提花三明治 450g/y 54""",19-3921TCX蓝,1.4,码,,预补数,FLDH251210,2025-12-15 00:00:00,,
,,,,,小缸费,19-3921TCX蓝,1,个,,,FLDH251210,2025-12-15 00:00:00,,60+61=121
PA251127013,M250010,4130184,C0101139,MS26128M,"20071#提花三明治 450g/y 54""",19-5920TCX绿,119.6,码,2,0,FLDH251211,2025-12-15 00:00:00,,
PA251127013,M250010,4130184,C0101139,MS26128M,"20071#提花三明治 450g/y 54""",19-5920TCX绿,1.4,码,,预补数,FLDH251211,2025-12-15 00:00:00,,
,,,,,小缸费,19-5920TCX绿,1,个,,,FLDH251211,2025-12-15 00:00:00,共17件，发鑫速达,58+63=121
PA251225002,V253224,100278437,C0501825,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",109-98-01白,79.6,码,1,0,FLDH251212,2025-12-25 00:00:00,,
PA251225002,V253224,100278437,C0501825,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",109-98-01白,0.4,码,,预补数,FLDH251212,2025-12-25 00:00:00,,
PA251225002,V253233,100278437,C0501825,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",109-98-01白,13.6,码,,0,FLDH251212,2025-12-25 00:00:00,,
PA251225002,V253233,100278437,C0501825,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",109-98-01白,0.4,码,,预补数,FLDH251212,2025-12-25 00:00:00,,
PA251225002,V253225,100278442,C0502651,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",047-82-01灰,79.6,码,1,,FLDH251212,2025-12-25 00:00:00,,
PA251225002,V253234,100278442,C0502651,FL-FW26209U,"DJ132 POLYPAG单层网 240g 54""",047-82-01灰,10.4,码,,,FLDH251212,2025-12-25 00:00:00,共2件，发鑫速达自提,
PA251216011,V253262,100239228,C0503015,FL-FW25259J,"K208单层网布180g 54""",01F7白,62.3,码,1,0,FLDH260101,2026-01-12 00:00:00,,
PA251216011,V253262,100239228,C0503015,FL-FW25259J,"K208单层网布180g 54""",01F7白,0.2,码,,预补数,FLDH260101,2026-01-12 00:00:00,,
PA251216011,V253270,100239228,C0503015,FL-FW25259J,"K208单层网布180g 54""",01F7白,9.3,码,,0,FLDH260101,2026-01-12 00:00:00,,
PA251216011,V253270,100239228,C0503015,FL-FW25259J,"K208单层网布180g 54""",01F7白,0.2,码,,预补数,FLDH260101,2026-01-12 00:00:00,,
PA251216011,V253257,100272330,C0504105,FL-FW25259J,"K208单层网布180g 54""",118-30-29蓝,45.5,码,1,0,FLDH260102,2026-01-12 00:00:00,,
PA251216011,V253257,100272330,C0504105,FL-FW25259J,"K208单层网布180g 54""",118-30-29蓝,0.2,码,,预补数,FLDH260102,2026-01-12 00:00:00,,
