泉州阳硕鞋材有限公司,,,,,,,,,,,,收货人填 13706060768dick郑，,
送 货 单,,,,,,,,,,,,,
收货单位：福建安恒致远鞋业有限公司（越南）,,,,,,,NO.：,APEX2603006,,,,,
地址：福建省莆田市涵江区国欢镇林炳村涵华东路,,,,,,,送货日期：,2026-03-08 00:00:00,,,,,
订单号,指令号,材料名称,规格,颜色,数量,单位,支数,单价,金额,批号,,,
AHJPO2581109,ZVN25012-059-1open,双面莱卡布,1.5m,白色,2,Y,,,,,APEX2601013,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-081open,210D 尼龙布,"54""",白玉髓12-4300TPG,3,Y,1,,,,APEX2601013,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-081-1,210D 尼龙布,"54""",白玉髓12-4300TPG,9,Y,,,,,APEX2601013,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-081,210D 尼龙布,"54""",白玉髓12-4300TPG,56,Y,,,,,APEX2601013,2026-01-15 00:00:00,
,,小缸费,,白玉髓12-4300TPG,1,个,,,,,APEX2601013,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-082-1,佳积布,"180 54""",墨綠色18-5610TPG,7,Y,1,,,,APEX2601014,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-082open,佳积布,"180 54""",墨綠色18-5610TPG,2,Y,,,,,APEX2601014,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-082,佳积布,"180 54""",墨綠色18-5610TPG,21,Y,,,,,APEX2601014,2026-01-15 00:00:00,
,,小缸费,,墨綠色18-5610TPG,1,个,,,,,APEX2601014,2026-01-15 00:00:00,
AHJPO2580379,ZVN25010-080open,毛巾布,"54""",天鵝灰12-0000TPG,10,码,3,,,,APEX2601014,2026-01-15 00:00:00,
AHJPO2580379,ZVN25010-080,毛巾布,"54""",天鵝灰12-0000TPG,288,码,,,,,APEX2601014,2026-01-15 00:00:00,98+97+106=301
,,小缸费,,天鵝灰12-0000TPG,1,个,,,,,APEX2601014,2026-01-15 00:00:00,
AHJPO2601313,ZVN25015-081,8安帆布,"54""",暗橘茶18-1355TPG,113,Y,2,,,,APEX2601015,2026-01-17 00:00:00,
AHJPO2601313,ZVN25015-081-1,8安帆布,"54""",暗橘茶18-1355TPG,18,Y,,,,,APEX2601015,2026-01-17 00:00:00,
AHJPO2601313,ZVN25015-081open,8安帆布,"54""",暗橘茶18-1355TPG,6,Y,,,,,APEX2601015,2026-01-17 00:00:00,100+37=137
,,小缸费,,暗橘茶18-1355TPG,1,个,,,,,APEX2601015,2026-01-17 00:00:00,
AHJPO2601313,ZVN25015-081open,YS-0731 三明治网布,"54""",白玉髓12-4300TPG,2,Y,1,,,,APEX2601016,2026-01-19 00:00:00,
AHJPO2601313,ZVN25015-081-1,YS-0731 三明治网布,"54""",白玉髓12-4300TPG,6,Y,,,,,APEX2601016,2026-01-19 00:00:00,
