泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
送  货  单,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市星联鞋业有限公司,,,,,,,NO.：,XC2603010,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区西天尾镇南少林路777号,,,,,,,送货日期：,2026-03-07 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,
4510208701,1X001522M,WB13220,"180G 白色K209网布54""",白色,61,码,,,,,XC2507027,2025-07-22 00:00:00,退回，重发,,,,,,,,,,
4510211105,2X003131,WD002113,"380G光亮白色YS5736网布54""",光亮白色,29,码,1,,,,XC2507035,2025-07-31 00:00:00,,,,,,,,,,,
,,WD002738,"350G K418 格子布(柄亿）（新欧标环保）55""",黑色,15,码,1,,,,XC2508016,2025-08-12 00:00:00,,,,,,,,,,,
,,WD000904,"180G  K209网布54""",白色,33,码,1,,,,XC2508022,2025-08-16 00:00:00,,,,,,,,,,,
,,WD003508,"180G  K209网布55""",棕色,10,码,1,,,,XC2508022,2025-08-16 00:00:00,,,,,,,,,,,
,,WD003505,"180G  K209网布55""",中花灰色,1,码,1包,,,,XC2508022,2025-08-16 00:00:00,,,,,,,,,,,
,,WB14777,"180G K209网布55""",黑色,47,码,1,,,,XC2508022,2025-08-16 00:00:00,,,,,,,,,,,
,,WD000908,"180GK209网布57""",灰褐色14-4501TPG,5,码,1,,,,XC2508022,2025-08-16 00:00:00,,,,,,,,,,,
,,WD000902,"180GK209网布55""",灰褐色14-4501TPG,36,码,1,,,,XC2508022,2025-08-16 00:00:00,,,,,,,,,,,
4510214829,1X001578M,WD004103,"180G K209网布54""",14-4112TPG天空蓝色,3,码,1包,,,补不良,XC2509011,2025-09-08 00:00:00,,,,,,,,,,,
4510217732,2X003179M,WD004130,"220G 棕色鸡皮绒54""",TAN棕色,2,码,1包,,,,XC2509011,2025-09-08 00:00:00,稍有缸差,,,,,,,,,,
,,,小缸费,TAN棕色,1,个,,,,,XC2509011,2025-09-08 00:00:00,,,,,,,,,,,
4510215315,1X001580M,WD001803,"180G K209网布54""",岩石灰色,3,码,1包,,,,XC2510003,2025-10-05 00:00:00,,,,,,,,,,,
