泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市联大鞋业有限公司,,,,,NO.：,LD251103,,,,,,,,,,,,,,,
地址：福建省莆田市城厢区华林工业区,,,,,送货日期：,2025-11-20 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面11.5,黑色,57,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面12,黑色,10,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面13,黑色,7,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋面7,黑色,16,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋面11.5,黑色,105,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋面12,黑色,12,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋面13,黑色,17,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面6.5,沥青色,6,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面7,沥青色,22,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面8.5,沥青色,31,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面10,沥青色,20,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面11.5,沥青色,104,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面12,沥青色,20,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋面13,沥青色,10,双,,,,,LD251021,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面7.5,灰色,12,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面8.5,灰色,12,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面9.5,灰色,15,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面10,灰色,20,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面10.5,灰色,41,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面11.5,灰色,69,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋面12,灰色,2,双,,,,,LD251022,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面6.5,礼服蓝,5,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面7,礼服蓝,19,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面7.5,礼服蓝,82,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面8,礼服蓝,68,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面10,礼服蓝,92,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面10.5,礼服蓝,60,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面11.5,礼服蓝,107,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面12,礼服蓝,20,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面13,礼服蓝,20,双,,,,,LD251023,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面6.5,白色,4,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面7.5,白色,21,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面9,白色,70,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面9.5,白色,12,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面10,白色,61,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面10.5,白色,75,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面11.5,白色,26,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面12.5,白色,14,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋面13,白色,5,双,,,,,LD251024,2025-10-22 00:00:00,,,,,,,,,,
