泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,,,,,,,
收货单位：现金客户,,,,,,,送货单号：,XJ25012006,,,,,,,,,,,,,,,,,,
地    址：,,,,,,,送货日期：,2025-12-19 00:00:00,,,,,,,,,,,,,,,,,,
订单号,指令,品名,数量,单位,支数,单价,小缸费,金额,备注,,,,,,,,,,,,,,,,,
同华,,"K209 250g/Y*54""  紫色",36.9,kg,,20,300,1038,,XJ241204,2024-12-26 00:00:00,,同华,,,,,,,,,,,,,
鑫升达,,全涤金光绒1.5*150平方克黑色,117.2,kG,6,29,,3398.8,,,,,鑫升达,已汇公帐,,,,,,,,,,,,
鑫升达,,21.3+21+21.7+21.5+21.6+8,,,,,,,,,,,,,,,,,,,,,,,,
勇宏,,太空层300g/M2*1.42米本白,757.8,kG,32,20,,15156,,,,,（勇宏）,,,,,,,,,,,,,
勇宏,,太空层300g/M2*1.42米本白,125.5,kG,,20,,2510,,,,,（勇宏）,,,,,,,,,,,,,
勇宏,,太空层300g/M2*1.42米本白,58.3,kG,,20,,1166,,,,,（勇宏）,,,,,,,,,,,,,
特步,,"180g天鹅绒54""杏仁白12-4301TPG",3,Y,,8.05,,24.15,,XJ2503001,2025-03-22 00:00:00,,,,,,,,,,,,,,,
漫信科技,,新款贾卡开发费,,,,2000,,2000,,XJ2504002,2025-04-22 00:00:00,,（漫信科技）,,,,,,,,,,,,,
勇宏,,太空层300g/M2*1.42米本白,307.9,kG,14,20,,6158,,XJ2505003,2025-05-15 00:00:00,,,,,,,,,,,,,,,
鑫升达,,全涤金光绒1.5*150平方克黑色,51.5,kG,3,29,,1493.5,,XJ2505005,2025-05-26 00:00:00,鑫升达,已汇公帐,,,,,,,,,,,,,
勇宏,,K655单网 改黑,98.2,KG,,7,,687.4,,XJ2506001,2025-06-14 00:00:00,,,,,,,,,,,,,,,
勇宏,,FS2062网布 灰色,63.7,KG,3,6.5,,414.05,,XJ2509001,2025-09-04 00:00:00,,,,,,,,,,,,,,,
昌鹏,,单网胚布,601.3,KG,13,14,,8418.2,,XJ2509002,2025-09-14 00:00:00,,,,,,,,,,,,,,,
书传,,K1127平布  本白,145.9,KG,5,22,,3209.8,不含税,,,12/4微信已付尹总,,,,,,,,,,,,,,
,,100Y*4+90Y,,,,,,,,,,,,,,,,,,,,,,,,
,,K1127平布  本白,39,KG,5,22,,858,不含税,XJ25011002,2025-11-11 00:00:00,,尹总微信已付,,,,,,,,,,,,,
,,"YES224 单层网布54""白色",12,Y,,25,,300,,XJ25012002,2025-12-01 00:00:00,,,,,,,,,,,,,,,
,,"YES224 单层网布54""黑色",3,Y,,25,,75,,XJ25012002,2025-12-01 00:00:00,,,,,,,,,,,,,,,
勇宏,,太空层300g/M2*1.42米本白,81.2,kG,4,20,,1624,,XJ25012003,2025-12-03 00:00:00,,,,,,,,,,,,,,,
,,"YES224 单层网布54""白色",2,Y,,25,,50,,XJ25012004,2025-12-04 00:00:00,,微信,,,,,,,,,,,,,
,,"YES224 单层网布54""白色",4,Y,,25,,100,,XJ25012005,2025-12-11 00:00:00,,微信,,,,,,,,,,,,,
,,"YES224 单层网布54""白色",11,Y,,25,,275,,XJ25012005,2025-12-11 00:00:00,,微信,,,,,,,,,,,,,
勇宏,,太空层300g/M2*1.42米本白,81.8,kG,3,20,,1636,,XJ25012006,2025-12-19 00:00:00,,,,,,,,,,,,,,,
合        计,,,81.8,,,,,1636,,,,,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,XJ25012006,2025-12-19 00:00:00,,,,,,,,,,,,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,,,,,,,
