泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001213,WF006570,13116 18-4034TPG蓝色飞织面6.5,18-4034TPG蓝色,78,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006571,13116 18-4034TPG蓝色飞织面7,18-4034TPG蓝色,114,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006572,13116 18-4034TPG蓝色飞织面7.5,18-4034TPG蓝色,12,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006573,13116 18-4034TPG蓝色飞织面8,18-4034TPG蓝色,114,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006574,13116 18-4034TPG蓝色飞织面8.5,18-4034TPG蓝色,78,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006575,13116 18-4034TPG蓝色飞织面9,18-4034TPG蓝色,10,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006576,13116 18-4034TPG蓝色飞织面9.5,18-4034TPG蓝色,40,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006578,13116 18-4034TPG蓝色飞织舌面5.5,18-4034TPG蓝色,20,双,,,,2件,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006579,13116 18-4034TPG蓝色飞织舌面6,18-4034TPG蓝色,5,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006580,13116 18-4034TPG蓝色飞织舌面6.5,18-4034TPG蓝色,80,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006581,13116 18-4034TPG蓝色飞织舌面7,18-4034TPG蓝色,117,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006582,13116 18-4034TPG蓝色飞织舌面7.5,18-4034TPG蓝色,10,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006583,13116 18-4034TPG蓝色飞织舌面8,18-4034TPG蓝色,120,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006584,13116 18-4034TPG蓝色飞织舌面8.5,18-4034TPG蓝色,83,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006585,13116 18-4034TPG蓝色飞织舌面9,18-4034TPG蓝色,8,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001213,WF006586,13116 18-4034TPG蓝色飞织舌面9.5,18-4034TPG蓝色,42,双,,,,,SHL2505050,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006558,13116 14-3803TPG紫罗兰飞织舌面5.5,14-3803TPG紫罗兰,37,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006559,13116 14-3803TPG紫罗兰飞织舌面6,14-3803TPG紫罗兰,33,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006560,13116 14-3803TPG紫罗兰飞织舌面6.5,14-3803TPG紫罗兰,40,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006561,13116 14-3803TPG紫罗兰飞织舌面7,14-3803TPG紫罗兰,92,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006562,13116 14-3803TPG紫罗兰飞织舌面7.5,14-3803TPG紫罗兰,13,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006563,13116 14-3803TPG紫罗兰飞织舌面8,14-3803TPG紫罗兰,90,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006564,13116 14-3803TPG紫罗兰飞织舌面8.5,14-3803TPG紫罗兰,40,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006565,13116 14-3803TPG紫罗兰飞织舌面9,14-3803TPG紫罗兰,30,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006566,13116 14-3803TPG紫罗兰飞织舌面9.5,14-3803TPG紫罗兰,30,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001214,WF006567,13116 14-3803TPG紫罗兰飞织舌面10,14-3803TPG紫罗兰,5,双,,,,,SHL2505051,2025-05-27 00:00:00,,,,,,,,,,
,2L001199,,13117飞织面,黑色,1550,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,,13117飞织舌面,黑色,1550,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001209,,13117飞织面,黑色,2842,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001209,,13117飞织舌面,黑色,2842,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001198,,13117 飞织面,暗蓝19-3929TPG,800,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001198,,13117飞织舌面,暗蓝19-3929TPG,800,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001200,,13117飞织面,灰蓝18-4214TPG,800,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001200,,13117飞织舌面,灰蓝18-4214TPG,800,双,,,,,SHL2505052,2025-05-23 00:00:00,,,,,,,,,,
,2L001201,,13117飞织面,冷灰COOL,800,双,,,,,SHL2505053,2025-05-23 00:00:00,,,,,,,,,,
,2L001201,,13117飞织舌面,冷灰COOL,800,双,,,,,SHL2505053,2025-05-23 00:00:00,,,,,,,,,,
,2L001208,,13117飞织面,深橄榄色19-0516TPG,1400,双,,,,,SHL2505053,2025-05-23 00:00:00,,,,,,,,,,
,2L001208,,13117飞织舌面,深橄榄色19-0516TPG,1400,双,,,,,SHL2505053,2025-05-23 00:00:00,,,,,,,,,,
,2L001207,,13117飞织面,深海蓝19-4024TPX,2912,双,,,,,SHL2505053,2025-05-23 00:00:00,,,,,,,,,,
,2L001207,,13117飞织舌面,深海蓝19-4024TPX,2912,双,,,,,SHL2505053,2025-05-23 00:00:00,,,,,,,,,,
,2L001205,,13116飞织面,深兰19-4125TPG,1000,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001205,,13116飞织舌面,深兰19-4125TPG,1000,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001214,,13116飞织面,14-3803TPG紫罗兰,350,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001214,,13116飞织舌面,14-3803TPG紫罗兰,350,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001213,,13116飞织面,18-4034TPG蓝色,450,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001213,,13116飞织舌面,18-4034TPG蓝色,450,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001206,,13116飞织面,蘑菇灰13-4201TPG,1000,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001206,,13116飞织舌面,蘑菇灰13-4201TPG,1000,双,,,,,SHL2505054,2025-05-23 00:00:00,,,,,,,,,,
,2L001204,,13116飞织面,黑色,1000,双,,,,,SHL2505055,2025-05-23 00:00:00,,,,,,,,,,
,2L001204,,13116飞织舌面,黑色,1000,双,,,,,SHL2505055,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,,13116飞织面,黑色,2500,双,,,,,SHL2505055,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,,13116飞织舌面,黑色,2500,双,,,,,SHL2505055,2025-05-23 00:00:00,,,,,,,,,,
合          计,,,,,7000,双,,,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,SHL2505055,2025-05-23 00:00:00,,,,,,,,,,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,,
第一联：存根(白)       第二联：客户(红)       第三联：请款(蓝)        第四联：仓库(黄),,,,,,,,,,,,,,,,,,,,,,
300码以下记得开小缸费,,,,,,,,,,,,,,,,,,,,,,
,2L000566,WB4617,"230G POLYPAG PII网布54""",标准白,46,Y,,,,,SHL230803,2023-08-23 00:00:00,延9月请款,此项客人改黑色，2023/9/10重新发黑色46Y，白色放在双联待后续订单扣用,,,,,,,,
,2L000564,WB4617,"230G POLYPAG II 网布54""",标准白,40,Y,1,,,,SHL230901,2023-09-05 00:00:00,,客人重复下单，我司重复送货，材料在双联仓库,,,,,,,,
,2L000566,WB4617,"230G POLYPAG II 网布54""",标准白,0,Y,,,,,SHL230901,2023-09-05 00:00:00,,客人重复下单，我司重复送货，材料在双联仓库,,,,,,,,8/26扣用
