泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001209,WF005069,13117黑色飞织面7.5,黑色,226,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005073,13117黑色飞织面9.5,黑色,130,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005074,13117黑色飞织面10,黑色,529,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005075,13117黑色飞织面10.5,黑色,120,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005076,13117黑色飞织面11,黑色,394,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005077,13117黑色飞织面11.5,黑色,294,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005069,13117黑色飞织面7.5,黑色,80,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005072,13117黑色飞织面9,黑色,82,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005073,13117黑色飞织面9.5,黑色,32,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005074,13117黑色飞织面10,黑色,320,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005076,13117黑色飞织面11,黑色,282,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005077,13117黑色飞织面11.5,黑色,188,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006442,13117暗蓝19-3929TPG飞织面9.5,暗蓝19-3929TPG,26,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006443,13117暗蓝19-3929TPG飞织面10,暗蓝19-3929TPG,183,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006446,13117暗蓝19-3929TPG飞织面11.5,暗蓝19-3929TPG,76,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001200,WF006525,13117灰蓝18-4214TPG飞织面9,灰蓝18-4214TPG,80,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001200,WF006527,13117灰蓝18-4214TPG飞织面10,灰蓝18-4214TPG,158,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001200,WF006529,13117灰蓝18-4214TPG飞织面11,灰蓝18-4214TPG,40,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006469,13117深橄榄色19-0516TPG飞织面9,深橄榄色19-0516TPG,267,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006470,13117深橄榄色19-0516TPG飞织面9.5,深橄榄色19-0516TPG,34,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006471,13117深橄榄色19-0516TPG飞织面10,深橄榄色19-0516TPG,200,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006472,13117深橄榄色19-0516TPG飞织面10.5,深橄榄色19-0516TPG,57,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005974,13116蘑菇灰13-4201TPG飞织舌面5.5,蘑菇灰13-4201TPG,103,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005975,13116蘑菇灰13-4201TPG飞织舌面6,蘑菇灰13-4201TPG,40,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005976,13116蘑菇灰13-4201TPG飞织舌面6.5,蘑菇灰13-4201TPG,160,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005977,13116蘑菇灰13-4201TPG飞织舌面7,蘑菇灰13-4201TPG,248,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005978,13116蘑菇灰13-4201TPG飞织舌面7.5,蘑菇灰13-4201TPG,24,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005979,13116蘑菇灰13-4201TPG飞织舌面8,蘑菇灰13-4201TPG,230,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005980,13116蘑菇灰13-4201TPG飞织舌面8.5,蘑菇灰13-4201TPG,146,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005981,13116蘑菇灰13-4201TPG飞织舌面9,蘑菇灰13-4201TPG,20,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005982,13116蘑菇灰13-4201TPG飞织舌面9.5,蘑菇灰13-4201TPG,90,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005983,13116蘑菇灰13-4201TPG飞织舌面10,蘑菇灰13-4201TPG,20,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006422,13117冷灰COOL GRAY 7U飞织舌面6.5,冷灰COOL,4,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006423,13117冷灰COOL GRAY 7U飞织舌面7,冷灰COOL,12,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006424,13117冷灰COOL GRAY 7U飞织舌面7.5,冷灰COOL,72,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006425,13117冷灰COOL GRAY 7U飞织舌面8,冷灰COOL,36,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006426,13117冷灰COOL GRAY 7U飞织舌面8.5,冷灰COOL,85,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006427,13117冷灰COOL GRAY 7U飞织舌面9,冷灰COOL,169,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006428,13117冷灰COOL GRAY 7U飞织舌面9.5,冷灰COOL,31,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006429,13117冷灰COOL GRAY 7U飞织舌面10,冷灰COOL,163,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
